M, u(M), chi(M), m(M)
2483, -0.36, 0.64, 0.16
2484, -0.44, 0.36, 0.12
2485, -0.36, 0.16, -0.08
2486, -0.28, 0.04, 0.04
2487, -0.44, 1, -0.2
2488, -0.28, 0.36, -0.12
2489, -0.2, 0.36, -0.12
2490, -0.36, 1, 0.2
2491, -0.2, 0.16, 0.08
2492, -0.2, 0.36, 0.12
2493, -0.36, 0.16, 0.08
2494, -0.52, 1, -0.2
2495, -0.44, 2.56, -0.32
2496, -0.2, 0.64, -0.16
2497, -0.28, 1.96, 0.28
2498, -0.52, 0.16, 0.08
2499, -0.36, 0.36, 0.12
2500, -0.36, 0, 0
2501, -0.36, 0.64, -0.16
2502, -0.28, 0.36, 0.12
2503, -0.28, 0.36, -0.12
2504, -0.44, 0.64, -0.16
2505, -0.2, 0.36, -0.12
2506, -0.52, 0.36, 0.12
2507, -0.68, 2.56, 0.32
2508, -0.76, 0.04, -0.04
2509, -0.76, 0, 0
2510, -0.44, 0.64, 0.16
2511, -0.44, 0.16, 0.08
2512, -0.44, 1, -0.2
2513, -0.44, 0.36, -0.12
2514, -0.44, 5.76, -0.48
2515, -0.52, 3.24, -0.36
2516, -0.44, 0.64, -0.16
2517, -0.36, 1.44, -0.24
2518, -0.28, 1.96, -0.28
2519, -0.52, 0.36, -0.12
2520, -0.44, 0.16, -0.08
2521, -0.44, 0, 0
2522, -0.52, 4.84, -0.44
2523, -0.44, 0.36, -0.12
2524, -0.6, 0.64, -0.16
2525, -0.6, 0, 0
2526, -0.6, 1, -0.2
2527, -0.52, 0.36, -0.12
2528, -0.44, 0.36, -0.12
2529, -0.52, 0.16, 0.08
2530, -0.44, 0.04, -0.04
2531, -0.6, 1, 0.2
2532, -0.52, 0, 0
2533, -0.36, 0.16, -0.08
2534, -0.52, 0.36, 0.12
2535, -0.44, 0, 0
2536, -0.36, 0.04, 0.04
2537, -0.28, 0.04, -0.04
2538, -0.6, 0, 0
2539, -0.52, 1, -0.2
2540, -0.36, 0.16, -0.08
2541, -0.36, 1, -0.2
2542, -0.6, 0.36, -0.12
2543, -0.44, 0.04, -0.04
2544, -0.52, 0, 0
2545, -0.36, 6.76, -0.52
2546, -0.36, 0.36, -0.12
2547, -0.2, 1, -0.2
2548, -0.36, 2.56, -0.32
2549, -0.2, 0.36, 0.12
2550, -0.36, 0.36, -0.12
2551, -0.52, 2.56, -0.32
2552, -0.28, 0.64, -0.16
2553, -0.44, 0.64, -0.16
2554, -0.6, 1.44, -0.24
2555, -0.6, 0.16, -0.08
2556, -0.76, 0.04, -0.04
2557, -0.44, 0, 0
2558, -0.36, 1.44, -0.24
2559, -0.6, 0.36, -0.12
2560, -0.68, 0.04, 0.04
2561, -0.52, 0, 0
2562, -0.52, 1, -0.2
2563, -0.6, 3.24, -0.36
2564, -0.6, 1.44, 0.24
2565, -0.52, 1.44, 0.24
2566, -0.2, 1.44, 0.24
2567, -0.44, 0.36, 0.12
2568, -0.6, 0.64, 0.16
2569, -0.6, 0.04, 0.04
2570, -0.52, 0.16, 0.08
2571, -0.44, 0.04, 0.04
2572, -0.44, 0.04, -0.04
2573, -0.44, 0.36, -0.12
2574, -0.36, 1.44, 0.24
2575, -0.36, 2.56, 0.32
2576, -0.52, 5.76, 0.48
2577, -0.36, 2.56, 0.32
2578, -0.52, 0.04, 0.04
2579, -0.6, 0.04, -0.04
2580, -0.28, 0.64, 0.16
2581, -0.6, 0.36, 0.12
2582, -0.6, 0.36, 0.12
2583, -0.44, 0.04, 0.04
2584, -0.36, 0.16, 0.08
2585, -0.44, 4, 0.4
2586, -0.44, 1, 0.2
2587, -0.12, 1.44, -0.24
2588, -0.36, 1, -0.2
2589, -0.36, 0.04, 0.04
2590, -0.52, 0.16, -0.08
2591, -0.52, 0.04, 0.04
2592, -0.36, 1, -0.2
2593, -0.52, 3.24, -0.36
2594, -0.6, 1, -0.2
2595, -0.6, 0.64, 0.16
2596, -0.6, 0.04, 0.04
2597, -0.52, 0.04, 0.04
2598, -0.6, 0.64, 0.16
2599, -0.68, 1.96, 0.28
2600, -0.44, 1, -0.2
2601, -0.2, 1.44, -0.24
2602, -0.44, 3.24, -0.36
2603, -0.44, 0, 0
2604, -0.44, 0, 0
2605, -0.6, 0.16, 0.08
2606, -0.68, 0.04, 0.04
2607, -0.6, 0.04, 0.04
2608, -0.6, 0.04, -0.04
2609, -0.36, 1, -0.2
2610, -0.52, 0.64, -0.16
2611, -0.44, 0.04, -0.04
2612, -0.36, 0.16, 0.08
2613, -0.44, 0.36, 0.12
2614, -0.28, 0.16, 0.08
2615, -0.28, 0.64, 0.16
2616, -0.52, 4, 0.4
2617, -0.36, 5.76, 0.48
2618, -0.36, 1, -0.2
2619, -0.44, 1.96, 0.28
2620, -0.36, 3.24, 0.36
2621, -0.28, 1.44, 0.24
2622, -0.44, 1.96, 0.28
2623, -0.52, 1.44, 0.24
2624, -0.52, 3.24, 0.36
2625, -0.44, 0, 0
2626, -0.36, 0.04, -0.04
2627, -0.52, 0.16, 0.08
2628, -0.28, 0.36, 0.12
2629, -0.68, 0.04, 0.04
2630, -0.6, 0, 0
2631, -0.6, 0.64, -0.16
2632, -0.44, 0.16, 0.08
2633, -0.28, 1.44, 0.24
2634, -0.28, 2.56, 0.32
2635, -0.2, 1, -0.2
2636, -0.52, 1.96, -0.28
2637, -0.68, 5.76, -0.48
2638, -0.6, 7.84, -0.56
2639, -0.52, 3.24, -0.36
2640, -0.44, 0.36, -0.12
2641, -0.52, 0.04, -0.04
2642, -0.28, 0.04, 0.04
2643, -0.44, 1.44, 0.24
2644, -0.36, 0.16, -0.08
2645, -0.44, 2.56, 0.32
2646, -0.36, 0.64, -0.16
2647, -0.52, 0.64, -0.16
2648, -0.52, 0.16, -0.08
2649, -0.52, 0.04, 0.04
2650, -0.6, 1.44, -0.24
2651, -0.6, 4.84, -0.44
2652, -0.52, 1.96, -0.28
2653, -0.52, 2.56, -0.32
2654, -0.44, 1.44, -0.24
2655, -0.44, 3.24, -0.36
2656, -0.36, 3.24, -0.36
2657, -0.44, 1.96, 0.28
2658, -0.44, 0.36, 0.12
2659, -0.44, 0.36, 0.12
2660, -0.36, 0.04, 0.04
2661, -0.36, 1, 0.2
2662, -0.2, 4, 0.4
2663, -0.28, 0.16, 0.08
2664, -0.44, 1, -0.2
2665, -0.36, 1, -0.2
2666, -0.36, 0.16, -0.08
2667, -0.6, 1.44, 0.24
2668, -0.44, 0.16, -0.08
2669, -0.2, 0.64, 0.16
2670, -0.2, 0.36, -0.12
2671, -0.52, 3.24, -0.36
2672, -0.76, 4, -0.4
2673, -0.6, 3.24, -0.36
2674, -0.28, 4, -0.4
2675, -0.44, 0.36, -0.12
2676, -0.2, 1, -0.2
2677, -0.36, 0.36, -0.12
2678, -0.6, 0, 0
2679, -0.52, 0.64, -0.16
2680, -0.6, 1.96, -0.28
2681, -0.6, 1.96, -0.28
2682, -0.44, 4, -0.4
2683, -0.44, 1.96, -0.28
2684, -0.6, 0.04, -0.04
2685, -0.52, 0.16, -0.08
2686, -0.44, 0.64, 0.16
2687, -0.6, 0.36, 0.12
2688, -0.36, 0.04, 0.04
2689, -0.28, 0.16, -0.08
2690, -0.44, 1, 0.2
2691, -0.36, 0.36, 0.12
2692, -0.28, 1.44, -0.24
2693, -0.44, 0.64, -0.16
2694, -0.52, 1, 0.2
2695, -0.28, 2.56, 0.32
2696, -0.52, 1.44, 0.24
2697, -0.52, 3.24, 0.36
2698, -0.44, 3.24, 0.36
2699, -0.44, 7.84, 0.56
2700, -0.44, 1.44, 0.24
2701, -0.6, 5.76, 0.48
2702, -0.44, 5.76, 0.48
2703, -0.52, 4, 0.4
2704, -0.52, 5.76, 0.48
2705, -0.36, 0.16, 0.08
2706, -0.36, 0.16, 0.08
2707, -0.52, 0.16, 0.08
2708, -0.6, 1.44, 0.24
2709, -0.6, 0.16, -0.08
2710, -0.6, 0.64, 0.16
2711, -0.52, 0.16, -0.08
2712, -0.52, 0.04, 0.04
2713, -0.36, 0.04, -0.04
2714, -0.28, 1.96, 0.28
2715, -0.44, 0.04, -0.04
2716, -0.44, 0.16, -0.08
2717, -0.6, 0.16, -0.08
2718, -0.52, 0.04, -0.04
2719, -0.2, 0, 0
2720, -0.44, 0.64, 0.16
2721, -0.52, 1, 0.2
2722, -0.6, 0, 0
2723, -0.52, 0.64, 0.16
2724, -0.44, 0, 0
2725, -0.52, 0.04, 0.04
2726, -0.52, 0, 0
2727, -0.52, 0.64, -0.16
2728, -0.52, 6.76, -0.52
2729, -0.44, 4, -0.4
2730, -0.52, 1, -0.2
2731, -0.52, 4, -0.4
2732, -0.6, 1.96, -0.28
2733, -0.52, 3.24, -0.36
2734, -0.36, 1.96, -0.28
2735, -0.52, 4, -0.4
2736, -0.36, 1, -0.2
2737, -0.36, 0, 0
2738, -0.36, 1.44, -0.24
2739, -0.36, 1.44, -0.24
2740, -0.28, 2.56, -0.32
2741, -0.36, 0.16, 0.08
2742, -0.52, 0.36, 0.12
2743, -0.52, 0, 0
2744, -0.36, 0.16, 0.08
2745, -0.44, 1, 0.2
2746, -0.44, 0.36, -0.12
2747, -0.6, 0.04, -0.04
2748, -0.36, 0.04, 0.04
2749, -0.44, 0.64, -0.16
2750, -0.28, 0, 0
2751, -0.44, 0.16, -0.08
2752, -0.52, 2.56, -0.32
2753, -0.52, 0.16, -0.08
2754, -0.52, 2.56, -0.32
2755, -0.6, 0, 0
2756, -0.52, 0.36, 0.12
2757, -0.52, 0.36, -0.12
2758, -0.52, 0.04, -0.04
2759, -0.44, 1, -0.2
2760, -0.36, 0.64, -0.16
2761, -0.44, 0, 0
2762, -0.2, 0.64, 0.16
2763, -0.36, 0, 0
2764, -0.6, 0.16, -0.08
2765, -0.52, 0.16, 0.08
2766, -0.76, 1, -0.2
2767, -0.68, 2.56, -0.32
2768, -0.68, 0.36, -0.12
2769, -0.36, 0.64, -0.16
2770, -0.6, 1, -0.2
2771, -0.28, 0.04, 0.04
2772, -0.36, 0.16, -0.08
2773, -0.52, 0.16, 0.08
2774, -0.52, 0.64, -0.16
2775, -0.68, 0.36, -0.12
2776, -0.44, 0.36, -0.12
2777, -0.52, 1, -0.2
2778, -0.36, 1, 0.2
2779, -0.52, 0.04, -0.04
2780, -0.36, 0.04, -0.04
2781, -0.44, 1.44, 0.24
2782, -0.68, 0.36, -0.12
2783, -0.6, 0.64, 0.16
2784, -0.52, 3.24, 0.36
2785, -0.6, 1, 0.2
2786, -0.52, 2.56, 0.32
2787, -0.52, 1, 0.2
2788, -0.44, 1.44, 0.24
2789, -0.52, 0.36, 0.12
2790, -0.68, 0.16, 0.08
2791, -0.52, 0.64, 0.16
2792, -0.52, 0.36, 0.12
2793, -0.52, 0.64, 0.16
2794, -0.52, 0.36, 0.12
2795, -0.44, 0.16, 0.08
2796, -0.52, 0.04, 0.04
2797, -0.6, 0.04, 0.04
2798, -0.44, 0.64, 0.16
2799, -0.52, 0.64, 0.16
2800, -0.52, 0.16, 0.08
2801, -0.36, 0.04, -0.04
2802, -0.44, 1, -0.2
2803, -0.36, 0.04, -0.04
2804, -0.44, 0, 0
2805, -0.36, 0, 0
2806, -0.44, 0, 0
2807, -0.6, 1, 0.2
2808, -0.76, 1.96, 0.28
2809, -0.6, 0.64, 0.16
2810, -0.52, 0.04, -0.04
2811, -0.52, 0.36, -0.12
2812, -0.52, 0.36, -0.12
2813, -0.28, 2.56, -0.32
2814, -0.36, 0.64, -0.16
2815, -0.6, 0.36, -0.12
2816, -0.52, 0.36, -0.12
2817, -0.44, 1.44, -0.24
2818, -0.44, 4, -0.4
2819, -0.6, 4.84, -0.44
2820, -0.36, 4, -0.4
2821, -0.44, 1, -0.2
2822, -0.68, 0.64, -0.16
2823, -0.44, 0.16, 0.08
2824, -0.52, 0.16, -0.08
2825, -0.52, 0.04, 0.04
2826, -0.52, 1, -0.2
2827, -0.52, 0.16, -0.08
2828, -0.2, 0.36, 0.12
2829, -0.52, 0.16, -0.08
2830, -0.44, 1.44, -0.24
2831, -0.68, 1.44, -0.24
2832, -0.52, 1.96, -0.28
2833, -0.44, 0.64, -0.16
2834, -0.6, 1.96, -0.28
2835, -0.68, 4, -0.4
2836, -0.68, 3.24, -0.36
2837, -0.44, 5.76, -0.48
2838, -0.44, 3.24, -0.36
2839, -0.52, 4.84, -0.44
2840, -0.28, 1.96, -0.28
2841, -0.36, 3.24, -0.36
2842, -0.52, 0.64, -0.16
2843, -0.52, 0, 0
2844, -0.36, 0.04, -0.04
2845, -0.36, 1.44, -0.24
2846, -0.52, 3.24, -0.36
2847, -0.28, 2.56, -0.32
2848, -0.44, 0.04, -0.04
2849, -0.6, 0.64, -0.16
2850, -0.44, 0.36, -0.12
2851, -0.44, 0.36, -0.12
2852, -0.36, 1.96, -0.28
2853, -0.44, 0.64, -0.16
2854, -0.44, 1, 0.2
2855, -0.68, 0.04, -0.04
2856, -0.68, 0, 0
2857, -0.44, 1, 0.2
2858, -0.52, 1.96, 0.28
2859, -0.44, 4.84, 0.44
2860, -0.28, 0.04, -0.04
2861, -0.44, 0.36, 0.12
2862, -0.52, 4, 0.4
2863, -0.36, 1.96, 0.28
2864, -0.52, 0.16, 0.08
2865, -0.52, 4, 0.4
2866, -0.52, 1.44, 0.24
2867, -0.28, 2.56, 0.32
2868, -0.44, 3.24, 0.36
2869, -0.12, 0.04, 0.04
2870, -0.44, 0.36, 0.12
2871, -0.6, 0.36, 0.12
2872, -0.68, 0.04, 0.04
2873, -0.68, 0.04, -0.04
2874, -0.44, 5.76, 0.48
2875, -0.28, 0.16, 0.08
2876, -0.2, 0.36, -0.12
2877, -0.36, 0.64, -0.16
2878, -0.52, 0.16, -0.08
2879, -0.52, 0, 0
2880, -0.52, 0.36, 0.12
2881, -0.44, 1.44, 0.24
2882, -0.28, 1, 0.2
2883, -0.28, 0.36, 0.12
2884, -0.44, 0.16, -0.08
2885, -0.6, 0.36, -0.12
2886, -0.44, 0.36, 0.12
2887, -0.68, 0.36, 0.12
2888, -0.52, 0.16, -0.08
2889, -0.44, 0.04, 0.04
2890, -0.6, 3.24, 0.36
2891, -0.52, 0.36, 0.12
2892, -0.28, 2.56, 0.32
2893, -0.28, 1.96, 0.28
2894, -0.44, 0.36, -0.12
2895, -0.36, 0.36, -0.12
2896, -0.6, 9, -0.6
2897, -0.52, 2.56, -0.32
2898, -0.6, 2.56, -0.32
2899, -0.44, 4, -0.4
2900, -0.36, 1.96, -0.28
2901, -0.28, 0.36, -0.12
2902, -0.28, 0.16, -0.08
2903, -0.68, 0.04, 0.04
2904, -0.36, 0.16, 0.08
2905, -0.52, 0.04, -0.04
2906, -0.44, 0.36, -0.12
2907, -0.36, 1, 0.2
2908, -0.6, 2.56, 0.32
2909, -0.44, 1.44, 0.24
2910, -0.44, 1.44, 0.24
2911, -0.36, 0.64, 0.16
2912, -0.36, 0.36, -0.12
2913, -0.36, 0.36, 0.12
2914, -0.36, 0.04, 0.04
2915, -0.36, 0.64, 0.16
2916, -0.44, 0.64, 0.16
2917, -0.6, 0.16, 0.08
2918, -0.28, 0.16, -0.08
2919, -0.52, 1, -0.2
2920, -0.68, 3.24, -0.36
2921, -0.52, 1, -0.2
2922, -0.52, 0.16, -0.08
2923, -0.28, 1.96, -0.28
2924, -0.2, 0.36, -0.12
2925, -0.36, 0.64, -0.16
2926, -0.68, 0.04, -0.04
2927, -0.6, 0.04, -0.04
2928, -0.52, 2.56, -0.32
2929, -0.6, 2.56, -0.32
2930, -0.52, 0.36, -0.12
2931, -0.6, 0.64, -0.16
2932, -0.68, 1.96, -0.28
2933, -0.36, 1.96, -0.28
2934, -0.6, 4.84, -0.44
2935, -0.44, 0, 0
2936, -0.28, 1.44, -0.24
2937, -0.36, 1, -0.2
2938, -0.44, 1.44, -0.24
2939, -0.44, 0.16, 0.08
2940, -0.52, 0, 0
2941, -0.68, 0.16, -0.08
2942, -0.76, 1, -0.2
2943, -0.6, 1, -0.2
2944, -0.6, 1.44, -0.24
2945, -0.6, 1.44, -0.24
2946, -0.52, 0.36, -0.12
2947, -0.28, 2.56, -0.32
2948, -0.36, 1, -0.2
2949, -0.28, 0.36, -0.12
2950, -0.44, 0.64, -0.16
2951, -0.52, 0.04, 0.04
2952, -0.52, 0.64, -0.16
2953, -0.52, 1.44, -0.24
2954, -0.2, 1, -0.2
2955, -0.36, 1.96, -0.28
2956, -0.52, 0.04, -0.04
2957, -0.68, 1.96, 0.28
2958, -0.52, 3.24, 0.36
2959, -0.68, 5.76, 0.48
2960, -0.28, 4.84, 0.44
2961, -0.2, 0.36, 0.12
2962, -0.44, 0.36, 0.12
2963, -0.44, 0.04, -0.04
2964, -0.52, 0.64, 0.16
2965, -0.6, 1, 0.2
2966, -0.2, 0.04, 0.04
2967, -0.52, 2.56, 0.32
2968, -0.6, 0.04, 0.04
2969, -0.52, 0.04, -0.04
2970, -0.44, 0.16, 0.08
2971, -0.68, 0.16, 0.08
2972, -0.36, 0.64, -0.16
2973, -0.52, 0.04, 0.04
2974, -0.28, 0.36, -0.12
2975, -0.36, 0.36, 0.12
2976, -0.52, 0, 0
2977, -0.44, 0.64, -0.16
2978, -0.36, 0.36, -0.12
2979, -0.36, 1.44, -0.24
2980, -0.44, 0.64, -0.16
2981, -0.6, 0.16, 0.08
2982, -0.68, 4, 0.4
2983, -0.44, 1.44, 0.24
2984, -0.52, 0.16, -0.08
2985, -0.52, 0.04, -0.04
2986, -0.44, 1, -0.2
2987, -0.6, 1, 0.2
2988, -0.44, 1.44, -0.24
2989, -0.6, 0.04, 0.04
2990, -0.36, 0.16, 0.08
2991, -0.44, 4, -0.4
2992, -0.6, 7.84, -0.56
2993, -0.28, 1, -0.2
2994, -0.44, 0.64, -0.16
2995, -0.28, 0.64, -0.16
2996, -0.44, 0.16, -0.08
2997, -0.44, 1, -0.2
2998, -0.36, 1.96, -0.28
2999, -0.52, 3.24, -0.36
3000, -0.68, 5.76, -0.48
3001, -0.36, 1, -0.2
3002, -0.44, 5.76, -0.48
3003, -0.68, 9, -0.6
3004, -0.44, 7.84, -0.56
3005, -0.68, 10.24, -0.64
3006, -0.36, 3.24, -0.36
3007, -0.52, 0.16, -0.08
3008, -0.44, 0.64, -0.16
3009, -0.36, 0.16, -0.08
3010, -0.36, 0.04, -0.04
3011, -0.28, 0.64, -0.16
3012, -0.12, 0.04, -0.04
3013, -0.36, 0, 0
3014, -0.44, 1.96, -0.28
3015, -0.28, 0.36, -0.12
3016, -0.52, 0.36, -0.12
3017, -0.44, 1.96, 0.28
3018, -0.44, 1.96, 0.28
3019, -0.44, 4.84, 0.44
3020, -0.52, 6.76, 0.52
3021, -0.52, 10.24, 0.64
3022, -0.6, 6.76, 0.52
3023, -0.6, 1.44, 0.24
3024, -0.44, 0.64, -0.16
3025, -0.36, 1.44, -0.24
3026, -0.52, 1, -0.2
3027, -0.28, 0.64, -0.16
3028, -0.44, 0.04, -0.04
3029, -0.28, 0.04, -0.04
3030, -0.28, 0.16, 0.08
3031, -0.52, 1, 0.2
3032, -0.6, 0.36, 0.12
3033, -0.36, 0.16, -0.08
3034, -0.36, 0.64, -0.16
3035, -0.28, 0.04, -0.04
3036, -0.12, 0, 0
3037, -0.36, 2.56, 0.32
3038, -0.36, 1.44, 0.24
3039, -0.52, 0.16, 0.08
3040, -0.44, 1, 0.2
3041, -0.36, 6.76, 0.52
3042, -0.52, 4, 0.4
3043, -0.36, 2.56, 0.32
3044, -0.36, 0.64, 0.16
3045, -0.68, 0.16, 0.08
3046, -0.68, 4.84, 0.44
3047, -0.36, 2.56, 0.32
3048, -0.44, 0.04, 0.04
3049, -0.44, 1, -0.2
3050, -0.28, 0.16, -0.08
3051, -0.28, 0.36, 0.12
3052, -0.28, 0.04, -0.04
3053, -0.44, 0.36, -0.12
3054, -0.28, 0.16, 0.08
3055, -0.28, 0.16, -0.08
3056, -0.28, 0.04, -0.04
3057, -0.36, 1, -0.2
3058, -0.6, 1.96, -0.28
3059, -0.6, 1.44, -0.24
3060, -0.52, 0, 0
3061, -0.6, 0.36, -0.12
3062, -0.52, 0.16, 0.08
3063, -0.36, 0.64, 0.16
3064, -0.52, 1, 0.2
3065, -0.6, 4, 0.4
3066, -0.6, 3.24, 0.36
3067, -0.36, 0.16, -0.08
3068, -0.36, 0.16, 0.08
3069, -0.28, 1, 0.2
3070, -0.52, 0.04, -0.04
3071, -0.44, 1, 0.2
3072, -0.52, 0.64, 0.16
3073, -0.68, 0.36, 0.12
3074, -0.44, 0.16, -0.08
3075, -0.44, 1.96, -0.28
3076, -0.28, 0.64, -0.16
3077, -0.44, 2.56, 0.32
3078, -0.44, 1, 0.2
3079, -0.12, 0, 0
3080, -0.2, 3.24, -0.36
3081, -0.52, 0.64, -0.16
3082, -0.68, 1.96, -0.28
3083, -0.76, 0.16, -0.08
3084, -0.52, 0.04, -0.04
3085, -0.44, 1, -0.2
3086, -0.28, 0.36, -0.12
3087, -0.44, 0.64, 0.16
3088, -0.36, 1.96, 0.28
3089, -0.52, 6.76, 0.52
3090, -0.36, 0.36, -0.12
3091, -0.44, 0.16, 0.08
3092, -0.44, 0.04, 0.04
3093, -0.6, 0.64, 0.16
3094, -0.36, 0.04, 0.04
3095, -0.52, 1.44, 0.24
3096, -0.44, 0.36, 0.12
3097, -0.44, 1.96, 0.28
3098, -0.44, 0.16, 0.08
3099, -0.6, 2.56, 0.32
3100, -0.6, 1.96, 0.28
3101, -0.52, 4, 0.4
3102, -0.6, 0.04, 0.04
3103, -0.6, 0.36, 0.12
3104, -0.36, 1, -0.2
3105, -0.6, 0.16, -0.08
3106, -0.44, 3.24, -0.36
3107, -0.52, 1.96, -0.28
3108, -0.36, 3.24, -0.36
3109, -0.44, 0.36, -0.12
3110, -0.44, 0, 0
3111, -0.44, 0.16, 0.08
3112, -0.68, 0.04, -0.04
3113, -0.52, 0.64, 0.16
3114, -0.36, 3.24, 0.36
3115, -0.36, 0, 0
3116, -0.12, 0.04, -0.04
3117, -0.44, 0.04, -0.04
3118, -0.36, 0.36, 0.12
3119, -0.36, 2.56, 0.32
3120, -0.28, 4, 0.4
3121, -0.36, 7.84, 0.56
3122, -0.44, 4, 0.4
3123, -0.52, 0.64, 0.16
3124, -0.44, 0.64, 0.16
3125, -0.44, 0.04, -0.04
3126, -0.36, 0, 0
3127, -0.52, 0.04, -0.04
3128, -0.28, 0.16, 0.08
3129, -0.6, 0.64, 0.16
3130, -0.36, 0, 0
3131, -0.44, 0.64, -0.16
3132, -0.36, 0.04, -0.04
3133, -0.6, 0.36, -0.12
3134, -0.68, 0.64, -0.16
3135, -0.44, 2.56, 0.32
3136, -0.44, 4.84, 0.44
3137, -0.52, 2.56, 0.32
3138, -0.52, 3.24, 0.36
3139, -0.44, 0.16, 0.08
3140, -0.44, 0.36, 0.12
3141, -0.28, 1.44, 0.24
3142, -0.44, 1.44, 0.24
3143, -0.36, 2.56, 0.32
3144, -0.68, 11.56, 0.68
3145, -0.6, 3.24, 0.36
3146, -0.6, 4.84, 0.44
3147, -0.6, 1.44, 0.24
3148, -0.2, 0.04, 0.04
3149, -0.28, 0, 0
3150, -0.2, 0.16, 0.08
3151, -0.36, 1, -0.2
3152, -0.36, 0, 0
3153, -0.52, 0.36, 0.12
3154, -0.36, 0.16, 0.08
3155, -0.36, 0.36, -0.12
3156, -0.52, 0.04, -0.04
3157, -0.44, 0.16, 0.08
3158, -0.52, 0.64, 0.16
3159, -0.36, 0.04, 0.04
3160, -0.44, 2.56, 0.32
3161, -0.44, 0.64, 0.16
3162, -0.52, 0.04, 0.04
3163, -0.52, 1, -0.2
3164, -0.36, 1.96, -0.28
3165, -0.36, 1.44, -0.24
3166, -0.52, 0.36, -0.12
3167, -0.44, 0.04, 0.04
3168, -0.12, 0.04, 0.04
3169, -0.52, 0.36, 0.12
3170, -0.52, 0.64, 0.16
3171, -0.44, 4.84, 0.44
3172, -0.6, 0.64, 0.16
3173, -0.52, 1, -0.2
3174, -0.6, 1, -0.2
3175, -0.6, 0.36, 0.12
3176, -0.6, 1.44, 0.24
3177, -0.68, 3.24, 0.36
3178, -0.36, 4, 0.4
3179, -0.36, 1.96, 0.28
3180, -0.44, 0.04, -0.04
3181, -0.44, 3.24, -0.36
3182, -0.28, 0.36, 0.12
3183, -0.28, 0.04, -0.04
3184, -0.36, 0.16, -0.08
3185, -0.6, 1.96, -0.28
3186, -0.52, 1.44, -0.24
3187, -0.44, 0.16, -0.08
3188, -0.28, 3.24, -0.36
3189, -0.44, 0.64, -0.16
3190, -0.52, 2.56, -0.32
3191, -0.36, 3.24, -0.36
3192, -0.44, 0.16, -0.08
3193, -0.52, 0, 0
3194, -0.36, 1, 0.2
3195, -0.36, 0.16, 0.08
3196, -0.52, 0.36, 0.12
3197, -0.36, 0.36, -0.12
3198, -0.6, 1.96, -0.28
3199, -0.6, 1.96, -0.28
3200, -0.6, 0.04, -0.04
3201, -0.6, 0.04, -0.04
3202, -0.36, 0.36, -0.12
3203, -0.44, 1.96, -0.28
3204, -0.52, 3.24, -0.36
3205, -0.28, 1.44, -0.24
3206, -0.52, 2.56, -0.32
3207, -0.44, 1.96, -0.28
3208, -0.52, 3.24, -0.36
3209, -0.6, 0.36, -0.12
3210, -0.36, 0.64, -0.16
3211, -0.36, 0.36, 0.12
3212, -0.28, 1, 0.2
3213, -0.44, 0.04, 0.04
3214, -0.2, 0.36, -0.12
3215, -0.44, 0.04, -0.04
3216, -0.36, 0.36, 0.12
3217, -0.52, 1, 0.2
3218, -0.44, 0.16, 0.08
3219, -0.2, 0.36, -0.12
3220, -0.36, 0.36, 0.12
3221, -0.6, 3.24, 0.36
3222, -0.6, 1.96, 0.28
3223, -0.76, 1.44, 0.24
3224, -0.44, 0.04, -0.04
3225, -0.36, 0, 0
3226, -0.52, 0.16, -0.08
3227, -0.6, 0.64, -0.16
3228, -0.36, 0.36, 0.12
3229, -0.44, 1.44, 0.24
3230, -0.6, 4.84, 0.44
3231, -0.36, 1.44, 0.24
3232, -0.28, 4, 0.4
3233, -0.44, 4.84, 0.44
3234, -0.6, 7.84, 0.56
3235, -0.52, 5.76, 0.48
3236, -0.6, 1.44, 0.24
3237, -0.28, 0.36, 0.12
3238, -0.36, 4, 0.4
3239, -0.52, 1, 0.2
3240, -0.6, 0.16, 0.08
3241, -0.52, 0, 0
3242, -0.6, 2.56, -0.32
3243, -0.6, 2.56, -0.32
3244, -0.52, 0.36, -0.12
3245, -0.36, 4, -0.4
3246, -0.6, 7.84, -0.56
3247, -0.52, 5.76, -0.48
3248, -0.44, 1.96, -0.28
3249, -0.52, 1.44, -0.24
3250, -0.44, 0.36, -0.12
3251, -0.52, 1, 0.2
3252, -0.6, 0.04, 0.04
3253, -0.76, 0.04, -0.04
3254, -0.6, 0.04, -0.04
3255, -0.68, 3.24, 0.36
3256, -0.68, 2.56, 0.32
3257, -0.44, 1.44, 0.24
3258, -0.6, 0, 0
3259, -0.68, 0.04, 0.04
3260, -0.52, 1.96, 0.28
3261, -0.44, 0.36, 0.12
3262, -0.44, 1, 0.2
3263, -0.6, 1, 0.2
3264, -0.52, 1, -0.2
3265, -0.2, 0.04, -0.04
3266, -0.44, 0, 0
3267, -0.44, 0.04, 0.04
3268, -0.6, 0.64, 0.16
3269, -0.44, 0.04, -0.04
3270, -0.52, 0.36, 0.12
3271, -0.6, 4, 0.4
3272, -0.44, 0.64, 0.16
3273, -0.44, 0.16, -0.08
3274, -0.36, 2.56, 0.32
3275, -0.52, 1.44, 0.24
3276, -0.36, 0.64, 0.16
3277, -0.52, 1, 0.2
3278, -0.44, 0, 0
3279, -0.52, 0, 0
3280, -0.44, 0.64, 0.16
3281, -0.6, 0.64, 0.16
3282, -0.68, 7.84, 0.56
