M, u(M), chi(M), m(M)
195, -0.6, 4.84, -0.44
196, -0.36, 1.96, -0.28
197, -0.2, 0, 0
198, -0.52, 1, -0.2
199, -0.44, 0.36, -0.12
200, -0.44, 0, 0
201, -0.52, 0.16, -0.08
202, -0.76, 0.64, -0.16
203, -0.6, 0.36, -0.12
204, -0.36, 1.44, -0.24
205, -0.52, 0.16, -0.08
206, -0.6, 0.04, 0.04
207, -0.76, 1.44, 0.24
208, -0.6, 1.44, 0.24
209, -0.52, 1, 0.2
210, -0.44, 1.44, 0.24
211, -0.68, 0.16, -0.08
212, -0.52, 0.16, 0.08
213, -0.6, 0, 0
214, -0.52, 1.44, 0.24
215, -0.6, 2.56, 0.32
216, -0.6, 3.24, 0.36
217, -0.52, 1.44, 0.24
218, -0.6, 0.36, 0.12
219, -0.28, 1.96, 0.28
220, -0.44, 4.84, 0.44
221, -0.28, 1.44, 0.24
222, -0.36, 0.36, 0.12
223, -0.6, 1.44, 0.24
224, -0.52, 0.16, 0.08
225, -0.52, 1, 0.2
226, -0.36, 1, 0.2
227, -0.6, 0.04, -0.04
228, -0.44, 0.16, -0.08
229, -0.36, 3.24, 0.36
230, -0.12, 1, 0.2
231, -0.6, 2.56, 0.32
232, -0.36, 1.96, 0.28
233, -0.36, 0.64, 0.16
234, -0.44, 1.96, 0.28
235, -0.52, 0.64, 0.16
236, -0.68, 0.36, -0.12
237, -0.28, 0.04, -0.04
238, -0.68, 3.24, 0.36
239, -0.52, 2.56, 0.32
240, -0.52, 5.76, 0.48
241, -0.6, 4, 0.4
242, -0.28, 3.24, 0.36
243, -0.04, 1.96, 0.28
244, -0.52, 0, 0
245, -0.12, 0.36, -0.12
246, -0.2, 0.16, 0.08
247, -0.36, 1.44, 0.24
248, -0.36, 0.04, 0.04
249, -0.68, 0.64, -0.16
250, -0.52, 0.16, 0.08
251, -0.52, 1.96, -0.28
252, -0.6, 1.44, -0.24
253, -0.52, 0.04, -0.04
254, -0.52, 0.04, -0.04
255, -0.2, 0.04, 0.04
256, -0.36, 0, 0
257, -0.44, 1, -0.2
258, -0.36, 1.96, -0.28
259, -0.52, 0.04, 0.04
260, -0.6, 4, 0.4
261, -0.44, 3.24, 0.36
262, -0.36, 0.64, 0.16
263, -0.28, 0, 0
264, -0.52, 0.36, 0.12
265, -0.44, 1.96, -0.28
266, -0.28, 2.56, -0.32
267, -0.52, 9, -0.6
268, -0.44, 5.76, -0.48
269, -0.44, 4, -0.4
270, -0.44, 0, 0
271, -0.52, 0.16, -0.08
272, -0.44, 1, 0.2
273, -0.52, 2.56, 0.32
274, -0.52, 5.76, 0.48
275, -0.44, 4.84, 0.44
276, -0.44, 6.76, 0.52
277, -0.36, 1.96, 0.28
278, -0.52, 6.76, 0.52
279, -0.28, 1, 0.2
280, -0.36, 0.36, -0.12
281, -0.36, 1, -0.2
282, -0.12, 0.64, -0.16
283, -0.44, 0.16, -0.08
284, -0.2, 2.56, 0.32
285, -0.52, 3.24, 0.36
286, -0.6, 4, 0.4
287, -0.6, 2.56, 0.32
288, -0.36, 0.16, 0.08
289, -0.6, 0.64, -0.16
290, -0.52, 0.16, -0.08
291, -0.52, 1.96, -0.28
292, -0.52, 0.16, -0.08
293, -0.6, 0.64, -0.16
294, -0.52, 1.96, -0.28
295, -0.52, 0.36, -0.12
296, -0.52, 2.56, -0.32
297, -0.6, 1.44, -0.24
298, -0.44, 1.96, -0.28
299, -0.52, 1.44, -0.24
300, -0.6, 1, -0.2
301, -0.6, 0.64, 0.16
302, -0.68, 1, 0.2
303, -0.52, 0.16, 0.08
304, -0.44, 0.64, -0.16
305, -0.28, 3.24, -0.36
306, -0.6, 1.96, -0.28
307, -0.44, 0.04, -0.04
308, -0.52, 0.04, -0.04
309, -0.44, 0.16, -0.08
310, -0.28, 2.56, 0.32
