M, u(M), chi(M), m(M)
194, -0.44, 0.36, -0.12
195, -0.52, 0.04, 0.04
196, -0.36, 0.16, -0.08
197, -0.36, 0, 0
198, -0.52, 1.44, -0.24
199, -0.6, 1.44, -0.24
200, -0.52, 1.96, -0.28
201, -0.68, 3.24, -0.36
202, -0.6, 1, -0.2
203, -0.52, 0.04, 0.04
204, -0.44, 0.16, -0.08
205, -0.52, 0.16, -0.08
206, -0.44, 0.36, -0.12
207, -0.12, 0.04, 0.04
208, -0.36, 1, 0.2
209, -0.28, 0.36, 0.12
210, -0.52, 4, 0.4
211, -0.52, 1, 0.2
212, -0.6, 0.16, 0.08
213, -0.44, 0.16, 0.08
214, -0.36, 0.04, -0.04
215, -0.36, 0.16, -0.08
216, -0.44, 1.96, -0.28
217, -0.36, 0, 0
218, -0.2, 0.04, -0.04
219, -0.52, 0.16, 0.08
220, -0.36, 0.16, 0.08
221, -0.44, 0.16, 0.08
222, -0.44, 0, 0
223, -0.36, 0.64, 0.16
224, -0.36, 0.04, -0.04
225, -0.28, 2.56, -0.32
226, -0.44, 0.64, -0.16
227, -0.52, 0.04, -0.04
228, -0.6, 0.64, 0.16
229, -0.36, 0.36, 0.12
230, -0.28, 0.16, 0.08
231, -0.52, 1, 0.2
232, -0.44, 0, 0
233, -0.52, 0.16, 0.08
234, -0.52, 0.36, 0.12
235, -0.28, 0.04, 0.04
236, -0.36, 0.36, 0.12
237, -0.52, 1.44, -0.24
238, -0.44, 0.64, -0.16
239, -0.28, 0, 0
240, -0.2, 0.16, -0.08
241, -0.36, 0.36, -0.12
242, -0.36, 1.96, -0.28
243, -0.36, 0.04, -0.04
244, -0.44, 4, -0.4
245, -0.6, 2.56, -0.32
246, -0.52, 1.44, -0.24
247, -0.6, 1, -0.2
248, -0.36, 1.44, -0.24
249, -0.52, 0.04, -0.04
250, -0.52, 1, -0.2
251, -0.52, 3.24, -0.36
252, -0.6, 4, -0.4
253, -0.68, 4.84, -0.44
254, -0.52, 5.76, -0.48
255, -0.52, 4, -0.4
256, -0.6, 6.76, -0.52
257, -0.36, 5.76, -0.48
258, -0.28, 0.36, -0.12
259, -0.36, 0.36, -0.12
260, -0.36, 0.04, 0.04
261, -0.44, 2.56, 0.32
262, -0.68, 1.44, 0.24
263, -0.6, 1.96, 0.28
264, -0.44, 3.24, 0.36
265, -0.52, 1, 0.2
266, -0.52, 0.64, 0.16
267, -0.44, 1.44, 0.24
268, -0.52, 0.16, -0.08
269, -0.52, 0.04, 0.04
270, -0.52, 0.36, 0.12
271, -0.28, 1.96, 0.28
272, -0.6, 0.64, 0.16
273, -0.6, 0.16, 0.08
274, -0.52, 1.96, 0.28
275, -0.28, 0.64, 0.16
276, -0.68, 3.24, 0.36
277, -0.36, 0.64, 0.16
278, -0.36, 0.36, 0.12
279, -0.44, 0.16, -0.08
280, -0.44, 1.44, -0.24
281, -0.68, 1.44, -0.24
282, -0.44, 0.36, -0.12
283, -0.6, 0.64, -0.16
284, -0.36, 1.44, -0.24
285, -0.52, 4.84, -0.44
286, -0.28, 1.44, -0.24
287, -0.44, 1.96, -0.28
288, -0.6, 6.76, -0.52
289, -0.36, 2.56, -0.32
290, -0.44, 0.64, -0.16
291, -0.52, 1, -0.2
292, -0.52, 0, 0
293, -0.36, 0.64, -0.16
294, -0.2, 1, -0.2
295, -0.44, 0.16, -0.08
296, -0.44, 2.56, -0.32
297, -0.52, 1.96, -0.28
298, -0.36, 2.56, -0.32
299, -0.36, 4.84, -0.44
300, -0.6, 5.76, -0.48
301, -0.6, 3.24, -0.36
302, -0.52, 4.84, -0.44
303, -0.52, 7.84, -0.56
304, -0.68, 10.24, -0.64
305, -0.2, 4, -0.4
306, -0.36, 1.96, -0.28
307, -0.28, 0.64, -0.16
308, -0.44, 1, -0.2
309, -0.36, 0.04, -0.04
310, -0.28, 0.36, -0.12
311, -0.6, 1.96, -0.28
312, -0.52, 4, -0.4
313, -0.6, 4, -0.4
314, -0.44, 4.84, -0.44
315, -0.6, 4, -0.4
316, -0.6, 1.96, -0.28
317, -0.44, 1.96, -0.28
318, -0.44, 0.16, 0.08
319, -0.36, 0.04, 0.04
320, -0.6, 0.04, -0.04
321, -0.52, 0.36, -0.12
322, -0.28, 0.36, -0.12
323, -0.44, 2.56, -0.32
324, -0.36, 5.76, -0.48
325, -0.6, 4.84, -0.44
326, -0.6, 3.24, -0.36
327, -0.6, 1.96, -0.28
328, -0.52, 3.24, -0.36
329, -0.36, 0.64, -0.16
330, -0.36, 3.24, -0.36
331, -0.44, 3.24, -0.36
332, -0.52, 2.56, -0.32
333, -0.44, 1, -0.2
334, -0.6, 0.64, -0.16
335, -0.6, 0.04, -0.04
336, -0.36, 0.16, -0.08
337, -0.52, 0.16, 0.08
338, -0.28, 0.04, 0.04
339, -0.44, 0.36, 0.12
340, -0.28, 0.64, -0.16
341, -0.44, 1.44, -0.24
342, -0.52, 0.64, -0.16
343, -0.6, 1.96, -0.28
344, -0.52, 4.84, -0.44
345, -0.52, 6.76, -0.52
346, -0.28, 7.84, -0.56
347, -0.6, 9, -0.6
348, -0.44, 1.44, -0.24
349, -0.44, 0.04, -0.04
350, -0.6, 0.04, 0.04
351, -0.6, 0, 0
352, -0.6, 0.04, -0.04
353, -0.6, 0, 0
354, -0.76, 0.16, 0.08
355, -0.44, 0.36, 0.12
356, -0.44, 0.16, 0.08
357, -0.6, 0.36, 0.12
358, -0.52, 0.64, -0.16
359, -0.6, 3.24, -0.36
360, -0.28, 1.96, -0.28
361, -0.36, 0.04, -0.04
362, -0.44, 1, -0.2
363, -0.36, 0.36, -0.12
364, -0.44, 1.44, -0.24
365, -0.44, 0.16, -0.08
366, -0.36, 0.16, 0.08
367, -0.6, 1, -0.2
368, -0.44, 0.16, -0.08
369, -0.28, 0.04, 0.04
370, -0.52, 0.36, 0.12
371, -0.44, 0.36, 0.12
372, -0.36, 0.36, 0.12
373, -0.44, 0.04, 0.04
374, -0.44, 1, 0.2
375, -0.52, 2.56, 0.32
376, -0.44, 1.44, 0.24
377, -0.6, 0.04, -0.04
378, -0.68, 0.04, 0.04
379, -0.6, 0.36, -0.12
380, -0.28, 0.36, -0.12
381, -0.2, 0.16, -0.08
382, -0.68, 0.04, -0.04
383, -0.44, 1, 0.2
384, -0.6, 0.64, 0.16
385, -0.36, 1.44, 0.24
386, -0.68, 2.56, 0.32
387, -0.6, 1.96, 0.28
388, -0.76, 4.84, 0.44
389, -0.52, 1.96, 0.28
390, -0.28, 1, 0.2
391, -0.28, 0, 0
392, -0.6, 0.36, -0.12
393, -0.52, 0.64, -0.16
394, -0.6, 0.64, -0.16
395, -0.68, 0.16, -0.08
396, -0.52, 0.36, 0.12
397, -0.44, 1.44, 0.24
398, -0.52, 2.56, 0.32
399, -0.36, 1, 0.2
400, -0.36, 0.04, 0.04
401, -0.44, 0.16, -0.08
402, -0.28, 0.16, 0.08
403, -0.52, 0.16, -0.08
404, -0.44, 0.16, 0.08
405, -0.44, 1.44, 0.24
406, -0.52, 6.76, 0.52
407, -0.6, 5.76, 0.48
408, -0.68, 2.56, 0.32
409, -0.6, 6.76, 0.52
410, -0.6, 4.84, 0.44
411, -0.44, 5.76, 0.48
412, -0.44, 1.96, 0.28
413, -0.36, 0.16, 0.08
414, -0.28, 0.04, 0.04
415, -0.6, 0.64, 0.16
416, -0.36, 0.16, 0.08
417, -0.36, 0.16, 0.08
418, -0.36, 0.04, 0.04
419, -0.44, 0.04, -0.04
420, -0.44, 0, 0
421, -0.28, 0, 0
422, -0.52, 0.36, -0.12
423, -0.2, 0.04, 0.04
424, -0.6, 0.04, -0.04
425, -0.44, 0.64, -0.16
426, -0.52, 0.36, 0.12
427, -0.52, 1, 0.2
428, -0.52, 1, 0.2
429, -0.36, 1, 0.2
430, -0.28, 1, 0.2
431, -0.28, 1, 0.2
432, -0.36, 3.24, 0.36
433, -0.76, 6.76, 0.52
434, -0.76, 10.24, 0.64
435, -0.68, 6.76, 0.52
436, -0.52, 1, 0.2
437, -0.44, 0.04, 0.04
438, -0.6, 0.16, 0.08
439, -0.28, 0.36, 0.12
440, -0.44, 0.36, 0.12
441, -0.36, 1.44, 0.24
442, -0.36, 0.64, 0.16
443, -0.76, 0.64, -0.16
444, -0.68, 1, -0.2
445, -0.44, 0.04, -0.04
446, -0.52, 0.36, -0.12
447, -0.52, 0.36, -0.12
448, -0.44, 1, -0.2
449, -0.28, 1.96, -0.28
450, -0.44, 3.24, -0.36
451, -0.12, 0, 0
452, -0.36, 0.64, 0.16
453, -0.28, 3.24, 0.36
454, -0.44, 0, 0
455, -0.36, 2.56, 0.32
456, -0.68, 1.96, 0.28
457, -0.6, 0.04, 0.04
458, -0.44, 0, 0
459, -0.28, 1, -0.2
460, -0.36, 0.36, -0.12
461, -0.44, 1.44, -0.24
462, -0.52, 6.76, -0.52
463, -0.6, 5.76, -0.48
464, -0.6, 3.24, -0.36
465, -0.36, 1.96, -0.28
466, -0.44, 1, -0.2
467, -0.68, 0, 0
468, -0.52, 1.44, 0.24
469, -0.68, 2.56, 0.32
470, -0.52, 2.56, 0.32
471, -0.36, 0.64, 0.16
472, -0.36, 0, 0
473, -0.36, 1.44, 0.24
474, -0.44, 4, 0.4
475, -0.68, 7.84, 0.56
476, -0.52, 6.76, 0.52
477, -0.36, 1, 0.2
478, -0.44, 0.04, 0.04
479, -0.52, 0.36, -0.12
480, -0.36, 0.04, -0.04
481, -0.36, 0, 0
482, -0.36, 0.64, 0.16
483, -0.68, 3.24, 0.36
484, -0.2, 1.44, 0.24
485, -0.36, 1, 0.2
486, -0.36, 0.04, 0.04
487, -0.52, 0, 0
488, -0.68, 0.36, 0.12
