M, u(M), chi(M), m(M)
2312, -0.44, 0.64, -0.16
2313, -0.44, 0.04, -0.04
2314, -0.44, 0.04, -0.04
2315, -0.44, 1.44, 0.24
2316, -0.52, 0.04, -0.04
2317, -0.84, 0.36, 0.12
2318, -0.44, 1, 0.2
2319, -0.36, 1.44, 0.24
2320, -0.52, 0, 0
2321, -0.36, 0, 0
2322, -0.36, 0.36, -0.12
2323, -0.2, 1, -0.2
2324, -0.44, 0.36, -0.12
2325, -0.52, 0.16, -0.08
2326, -0.6, 0.64, 0.16
2327, -0.68, 0.16, 0.08
2328, -0.36, 0.64, 0.16
2329, -0.36, 3.24, 0.36
2330, -0.6, 0.64, 0.16
2331, -0.68, 0.36, 0.12
2332, -0.68, 1.96, 0.28
2333, -0.6, 1.96, 0.28
2334, -0.52, 0.16, 0.08
2335, -0.68, 0.04, 0.04
2336, -0.6, 0.36, 0.12
2337, -0.52, 1.44, 0.24
2338, -0.44, 0.16, 0.08
2339, -0.36, 0.04, -0.04
2340, -0.36, 0.36, -0.12
2341, -0.6, 0.64, -0.16
2342, -0.52, 0.16, -0.08
2343, -0.28, 0.16, -0.08
2344, -0.44, 0.36, 0.12
2345, -0.28, 0.36, 0.12
2346, -0.52, 0, 0
2347, -0.52, 0, 0
2348, -0.68, 0, 0
2349, -0.6, 1.44, -0.24
2350, -0.52, 1.44, -0.24
2351, -0.44, 0.36, -0.12
2352, -0.28, 0.36, 0.12
2353, -0.44, 1.44, 0.24
2354, -0.36, 3.24, 0.36
2355, -0.52, 0.64, 0.16
2356, -0.6, 0.64, 0.16
2357, -0.44, 4.84, 0.44
2358, -0.36, 2.56, 0.32
2359, -0.6, 4.84, 0.44
2360, -0.44, 4.84, 0.44
2361, -0.36, 4, 0.4
2362, -0.44, 0.36, 0.12
2363, -0.6, 1.44, 0.24
2364, -0.44, 1, 0.2
2365, -0.76, 3.24, 0.36
2366, -0.68, 1.96, 0.28
2367, -0.44, 0.04, 0.04
2368, -0.68, 0.16, -0.08
2369, -0.6, 0.64, -0.16
2370, -0.52, 0.36, -0.12
2371, -0.6, 0.16, -0.08
2372, -0.6, 0.04, 0.04
2373, -0.2, 1.96, 0.28
2374, -0.44, 2.56, 0.32
2375, -0.52, 2.56, 0.32
2376, -0.36, 0.16, -0.08
2377, -0.44, 0.36, -0.12
2378, -0.44, 1.44, 0.24
2379, -0.52, 1.44, 0.24
2380, -0.52, 2.56, 0.32
2381, -0.6, 1, 0.2
2382, -0.44, 0.64, 0.16
2383, -0.28, 2.56, 0.32
2384, -0.12, 1.44, 0.24
2385, -0.44, 0.64, 0.16
2386, -0.6, 0.64, 0.16
2387, -0.52, 1.44, 0.24
2388, -0.2, 4, 0.4
2389, -0.36, 2.56, 0.32
2390, -0.52, 1.96, 0.28
2391, -0.44, 3.24, 0.36
2392, -0.6, 6.76, 0.52
2393, -0.44, 3.24, 0.36
2394, -0.2, 0.04, -0.04
2395, -0.28, 0.36, 0.12
2396, -0.36, 0.04, 0.04
2397, -0.44, 0.64, 0.16
2398, -0.52, 0.36, 0.12
2399, -0.52, 0.16, 0.08
2400, -0.52, 1, 0.2
2401, -0.52, 4, 0.4
2402, -0.68, 1.96, 0.28
2403, -0.6, 1.44, 0.24
2404, -0.6, 1, 0.2
2405, -0.68, 0, 0
2406, -0.52, 0.16, -0.08
2407, -0.52, 0, 0
2408, -0.36, 1, -0.2
2409, -0.52, 1, -0.2
2410, -0.36, 0.04, 0.04
2411, -0.52, 0.16, 0.08
2412, -0.44, 1.44, 0.24
2413, -0.6, 0, 0
2414, -0.44, 4, -0.4
2415, -0.6, 0.04, -0.04
2416, -0.68, 0.04, -0.04
2417, -0.44, 0.16, -0.08
2418, -0.44, 1, 0.2
2419, -0.28, 0.64, 0.16
2420, -0.44, 0.36, 0.12
2421, -0.28, 0, 0
2422, -0.36, 0.36, 0.12
2423, -0.36, 0.16, 0.08
2424, -0.36, 0.04, 0.04
2425, -0.36, 0.64, 0.16
2426, -0.52, 0.04, 0.04
2427, -0.36, 0.36, -0.12
2428, -0.36, 0.04, 0.04
2429, -0.44, 0.04, 0.04
2430, -0.28, 1.44, -0.24
2431, -0.36, 5.76, -0.48
2432, -0.44, 2.56, -0.32
2433, -0.44, 3.24, -0.36
2434, -0.36, 1.44, -0.24
2435, -0.52, 2.56, -0.32
2436, -0.44, 1.44, -0.24
2437, -0.52, 0.04, -0.04
2438, -0.6, 1, 0.2
2439, -0.44, 0.36, 0.12
2440, -0.36, 0.36, -0.12
2441, -0.44, 1.96, -0.28
2442, -0.52, 0.36, 0.12
2443, -0.36, 1, 0.2
2444, -0.44, 1, 0.2
2445, -0.52, 0.64, 0.16
2446, -0.44, 1.44, 0.24
2447, -0.44, 1.44, 0.24
2448, -0.36, 2.56, 0.32
2449, -0.44, 1.96, 0.28
2450, -0.36, 0.36, 0.12
2451, -0.44, 0, 0
2452, -0.68, 0.04, 0.04
2453, -0.44, 0, 0
2454, -0.52, 0.16, -0.08
2455, -0.44, 0.04, 0.04
2456, -0.44, 0, 0
2457, -0.44, 0.16, -0.08
2458, -0.44, 0.16, 0.08
2459, -0.36, 0.36, 0.12
2460, -0.44, 0.36, -0.12
2461, -0.44, 0.64, -0.16
2462, -0.36, 0.16, 0.08
2463, -0.44, 0.16, 0.08
2464, -0.68, 1.96, 0.28
2465, -0.68, 1.96, 0.28
2466, -0.68, 1, 0.2
2467, -0.36, 0.16, 0.08
2468, -0.52, 1.44, 0.24
2469, -0.36, 0.64, 0.16
2470, -0.36, 0.64, 0.16
2471, -0.52, 1, 0.2
2472, -0.28, 0, 0
2473, -0.36, 0.16, 0.08
2474, -0.52, 1, 0.2
2475, -0.36, 0.36, -0.12
2476, -0.52, 0.16, -0.08
2477, -0.44, 1, -0.2
2478, -0.52, 4, -0.4
2479, -0.6, 1, -0.2
2480, -0.6, 2.56, -0.32
2481, -0.44, 3.24, -0.36
2482, -0.36, 0.64, 0.16
2483, -0.36, 0, 0
2484, -0.2, 0.16, 0.08
2485, -0.2, 0.16, 0.08
2486, -0.28, 2.56, 0.32
2487, -0.44, 0.04, 0.04
2488, -0.44, 0.04, -0.04
2489, -0.28, 0.36, -0.12
2490, -0.2, 3.24, -0.36
2491, -0.6, 4, -0.4
2492, -0.76, 4.84, -0.44
2493, -0.68, 5.76, -0.48
2494, -0.68, 5.76, -0.48
2495, -0.36, 0.64, -0.16
2496, -0.52, 1.96, -0.28
2497, -0.2, 0.36, -0.12
2498, -0.2, 0, 0
2499, -0.36, 0.04, 0.04
2500, -0.2, 0.36, 0.12
2501, -0.36, 0.04, 0.04
2502, -0.2, 3.24, -0.36
2503, -0.44, 1.96, -0.28
2504, -0.6, 0.64, -0.16
2505, -0.52, 0.64, -0.16
2506, -0.68, 4, -0.4
2507, -0.6, 1.44, -0.24
2508, -0.44, 0.16, -0.08
2509, -0.36, 0.36, -0.12
2510, -0.36, 0.16, -0.08
2511, -0.44, 0.64, -0.16
2512, -0.52, 1.44, -0.24
2513, -0.36, 0, 0
2514, -0.36, 1, -0.2
2515, -0.28, 0.36, -0.12
2516, -0.36, 0.36, -0.12
2517, -0.52, 0.36, -0.12
2518, -0.36, 0.16, -0.08
2519, -0.52, 0.16, -0.08
2520, -0.52, 1.44, -0.24
2521, -0.28, 0, 0
2522, -0.2, 0.36, -0.12
2523, -0.12, 0.36, -0.12
2524, -0.52, 0.16, -0.08
2525, -0.36, 1, -0.2
2526, -0.6, 3.24, -0.36
2527, -0.6, 1.96, -0.28
2528, -0.44, 4.84, -0.44
2529, -0.52, 4, -0.4
2530, -0.44, 1, -0.2
2531, -0.52, 1.44, -0.24
2532, -0.6, 0.04, -0.04
2533, -0.52, 0.16, 0.08
2534, -0.44, 0, 0
2535, -0.44, 1.96, 0.28
2536, -0.52, 0.64, 0.16
2537, -0.6, 0.36, 0.12
2538, -0.44, 0.16, 0.08
2539, -0.44, 0, 0
2540, -0.28, 0.16, -0.08
2541, -0.44, 1, -0.2
2542, -0.44, 0.04, 0.04
2543, -0.52, 0.16, -0.08
2544, -0.44, 0.36, -0.12
2545, -0.52, 2.56, -0.32
2546, -0.2, 0.16, -0.08
2547, -0.68, 0.04, -0.04
2548, -0.52, 0.04, -0.04
2549, -0.52, 1, -0.2
2550, -0.28, 0.16, 0.08
2551, -0.36, 1, 0.2
2552, -0.68, 4.84, 0.44
2553, -0.76, 0.64, 0.16
2554, -0.52, 0.64, 0.16
2555, -0.44, 0.64, 0.16
2556, -0.44, 0.04, 0.04
2557, -0.44, 0.04, -0.04
2558, -0.44, 0.04, 0.04
2559, -0.52, 0.36, -0.12
2560, -0.6, 1.96, -0.28
2561, -0.68, 4, -0.4
2562, -0.52, 0.64, -0.16
2563, -0.6, 0.04, 0.04
2564, -0.68, 1.96, -0.28
2565, -0.52, 0.16, -0.08
2566, -0.36, 0.16, -0.08
2567, -0.44, 0.04, 0.04
2568, -0.44, 0.04, 0.04
2569, -0.44, 1, 0.2
2570, -0.44, 0.64, 0.16
2571, -0.28, 0.04, -0.04
2572, -0.28, 0.64, 0.16
2573, -0.6, 2.56, 0.32
2574, -0.52, 1.44, 0.24
2575, -0.52, 3.24, 0.36
2576, -0.68, 1.96, 0.28
2577, -0.52, 0.64, 0.16
2578, -0.52, 0.16, 0.08
2579, -0.6, 0.64, 0.16
2580, -0.36, 0.36, 0.12
2581, -0.6, 1.44, -0.24
2582, -0.52, 1.44, -0.24
2583, -0.68, 3.24, -0.36
2584, -0.52, 4.84, -0.44
2585, -0.52, 0.36, -0.12
2586, -0.36, 0.36, -0.12
2587, -0.44, 1, 0.2
2588, -0.28, 1, 0.2
2589, -0.52, 1.44, 0.24
2590, -0.6, 0.16, 0.08
2591, -0.52, 0.64, 0.16
2592, -0.52, 1.96, 0.28
2593, -0.44, 0.16, 0.08
2594, -0.36, 0.64, 0.16
2595, -0.28, 0.04, 0.04
2596, -0.28, 0.04, 0.04
2597, -0.36, 1, -0.2
2598, -0.36, 0.64, 0.16
2599, -0.44, 0.64, 0.16
2600, -0.6, 1.96, 0.28
2601, -0.6, 0.04, 0.04
2602, -0.6, 0.04, -0.04
2603, -0.44, 0.04, 0.04
2604, -0.52, 0.64, 0.16
2605, -0.6, 0.64, 0.16
2606, -0.44, 0.04, -0.04
2607, -0.36, 0.64, 0.16
2608, -0.44, 0.04, 0.04
2609, -0.36, 1, -0.2
2610, -0.36, 0.64, -0.16
2611, -0.68, 0.36, -0.12
2612, -0.52, 4, -0.4
2613, -0.52, 2.56, -0.32
2614, -0.44, 0, 0
2615, -0.52, 1.44, -0.24
2616, -0.6, 1.96, -0.28
2617, -0.36, 1, -0.2
2618, -0.44, 0.04, 0.04
2619, -0.6, 1.96, -0.28
2620, -0.6, 2.56, -0.32
2621, -0.76, 1.44, -0.24
2622, -0.6, 1.44, -0.24
2623, -0.44, 0.64, -0.16
2624, -0.76, 1.44, -0.24
2625, -0.6, 2.56, -0.32
2626, -0.36, 0.64, -0.16
2627, -0.28, 0.36, -0.12
2628, -0.36, 0.16, -0.08
2629, -0.36, 1, -0.2
2630, -0.36, 1.44, -0.24
2631, -0.44, 0.64, 0.16
2632, -0.52, 0.64, 0.16
2633, -0.28, 1, 0.2
2634, -0.52, 1, 0.2
2635, -0.52, 0.64, 0.16
2636, -0.36, 1.44, 0.24
2637, -0.28, 1, 0.2
2638, -0.44, 1.96, 0.28
2639, -0.52, 1, 0.2
2640, -0.44, 0.04, -0.04
2641, -0.6, 0.04, -0.04
2642, -0.36, 0, 0
2643, -0.52, 1.96, -0.28
2644, -0.6, 1.96, -0.28
2645, -0.44, 2.56, -0.32
2646, -0.52, 2.56, -0.32
2647, -0.68, 0.64, -0.16
2648, -0.6, 0, 0
2649, -0.68, 1, -0.2
2650, -0.44, 0, 0
2651, -0.44, 0, 0
2652, -0.2, 1, -0.2
2653, -0.44, 1, -0.2
2654, -0.6, 2.56, -0.32
2655, -0.6, 0.64, -0.16
2656, -0.52, 0.36, -0.12
2657, -0.52, 4, -0.4
2658, -0.52, 3.24, -0.36
2659, -0.52, 3.24, -0.36
2660, -0.44, 0.04, -0.04
2661, -0.28, 0.16, -0.08
2662, -0.44, 0.36, -0.12
2663, -0.36, 1, -0.2
2664, -0.44, 1.44, -0.24
2665, -0.36, 0.64, -0.16
2666, -0.28, 0.36, 0.12
2667, -0.36, 0.04, 0.04
2668, -0.52, 1, 0.2
2669, -0.44, 0.36, 0.12
2670, -0.28, 1.44, 0.24
2671, -0.44, 3.24, 0.36
2672, -0.36, 3.24, 0.36
2673, -0.44, 1.96, 0.28
2674, -0.44, 2.56, 0.32
2675, -0.6, 4, 0.4
2676, -0.44, 1.44, 0.24
2677, -0.28, 1.96, 0.28
2678, -0.44, 0.64, 0.16
2679, -0.52, 0.16, 0.08
2680, -0.68, 0, 0
2681, -0.52, 0.36, 0.12
2682, -0.68, 3.24, 0.36
2683, -0.68, 1.96, 0.28
2684, -0.68, 7.84, 0.56
2685, -0.68, 5.76, 0.48
2686, -0.28, 1.96, 0.28
2687, -0.6, 0.64, 0.16
2688, -0.6, 0.04, 0.04
2689, -0.52, 0.36, 0.12
2690, -0.44, 0.36, 0.12
2691, -0.52, 0.16, 0.08
2692, -0.36, 1.96, 0.28
2693, -0.52, 0.64, 0.16
2694, -0.44, 0.64, -0.16
2695, -0.52, 1.96, -0.28
2696, -0.44, 1, -0.2
2697, -0.36, 0.16, 0.08
2698, -0.44, 1.44, 0.24
2699, -0.68, 4, 0.4
2700, -0.68, 7.84, 0.56
2701, -0.68, 5.76, 0.48
2702, -0.76, 6.76, 0.52
2703, -0.6, 2.56, 0.32
2704, -0.52, 1.96, 0.28
2705, -0.52, 1, 0.2
2706, -0.52, 0.64, 0.16
2707, -0.44, 0.16, 0.08
2708, -0.6, 0.36, 0.12
2709, -0.52, 0.04, -0.04
2710, -0.52, 0, 0
2711, -0.6, 0.36, 0.12
2712, -0.36, 0.64, -0.16
2713, -0.6, 1, -0.2
2714, -0.6, 2.56, -0.32
2715, -0.44, 0.04, 0.04
2716, -0.28, 1, 0.2
2717, -0.28, 1.44, 0.24
2718, -0.28, 0.36, 0.12
2719, -0.36, 0.36, 0.12
2720, -0.52, 1, -0.2
2721, -0.52, 0.16, -0.08
2722, -0.44, 0.16, -0.08
2723, -0.28, 0.64, -0.16
2724, -0.44, 0.16, 0.08
2725, -0.6, 0.04, -0.04
2726, -0.52, 1, -0.2
2727, -0.36, 0, 0
2728, -0.44, 0.04, 0.04
2729, -0.44, 0.64, 0.16
2730, -0.6, 1, 0.2
2731, -0.6, 1, 0.2
2732, -0.44, 0.16, 0.08
2733, -0.36, 2.56, 0.32
2734, -0.28, 0.36, 0.12
2735, -0.28, 0.04, 0.04
2736, -0.28, 0.36, -0.12
2737, -0.36, 1.44, -0.24
2738, -0.28, 0.36, -0.12
2739, -0.52, 0.64, -0.16
2740, -0.44, 0.04, 0.04
2741, -0.52, 0.64, 0.16
2742, -0.44, 5.76, 0.48
2743, -0.52, 4, 0.4
2744, -0.52, 3.24, 0.36
2745, -0.36, 2.56, 0.32
2746, -0.36, 1.44, 0.24
2747, -0.44, 1.44, 0.24
2748, -0.36, 0.36, 0.12
2749, -0.36, 0.16, 0.08
2750, -0.36, 0.04, 0.04
2751, -0.44, 1, 0.2
2752, -0.52, 5.76, 0.48
2753, -0.6, 4.84, 0.44
2754, -0.44, 0.36, 0.12
2755, -0.76, 0.04, 0.04
2756, -0.52, 1.44, 0.24
2757, -0.6, 4, 0.4
2758, -0.28, 1.44, 0.24
2759, -0.44, 5.76, 0.48
2760, -0.52, 2.56, 0.32
2761, -0.52, 2.56, 0.32
2762, -0.44, 2.56, 0.32
2763, -0.76, 9, 0.6
2764, -0.52, 6.76, 0.52
2765, -0.76, 12.96, 0.72
2766, -0.44, 3.24, 0.36
2767, -0.52, 1.44, 0.24
2768, -0.36, 0.16, 0.08
2769, -0.28, 0.04, -0.04
2770, -0.36, 0.04, -0.04
2771, -0.36, 0.64, -0.16
2772, -0.52, 1.44, -0.24
2773, -0.6, 1.44, -0.24
2774, -0.52, 0.64, -0.16
2775, -0.6, 0.16, 0.08
2776, -0.76, 1.96, 0.28
2777, -0.76, 2.56, 0.32
2778, -0.76, 6.76, 0.52
2779, -0.52, 1, 0.2
2780, -0.76, 0.36, 0.12
2781, -0.76, 0.16, 0.08
2782, -0.6, 0.64, 0.16
2783, -0.44, 1.96, 0.28
2784, -0.28, 0.64, 0.16
2785, -0.44, 0.64, 0.16
2786, -0.44, 0.36, -0.12
2787, -0.52, 0.04, 0.04
2788, -0.52, 0.04, 0.04
2789, -0.44, 1, 0.2
2790, -0.52, 0.16, 0.08
2791, -0.68, 0.64, 0.16
2792, -0.6, 3.24, 0.36
2793, -0.36, 3.24, 0.36
2794, -0.52, 1, 0.2
2795, -0.36, 1.44, 0.24
2796, -0.52, 0.16, 0.08
2797, -0.44, 0, 0
2798, -0.28, 1, -0.2
2799, -0.28, 2.56, -0.32
2800, -0.44, 0.36, -0.12
2801, -0.44, 0.64, 0.16
2802, -0.52, 0.36, -0.12
2803, -0.6, 0.36, -0.12
2804, -0.52, 4, -0.4
2805, -0.52, 1.44, -0.24
2806, -0.6, 4.84, -0.44
2807, -0.6, 3.24, -0.36
2808, -0.6, 3.24, -0.36
2809, -0.6, 1.96, -0.28
2810, -0.36, 0.16, -0.08
2811, -0.2, 1.44, -0.24
2812, -0.36, 4, -0.4
2813, -0.2, 1.96, -0.28
2814, -0.52, 4, -0.4
2815, -0.52, 2.56, -0.32
2816, -0.6, 3.24, -0.36
2817, -0.68, 4.84, -0.44
2818, -0.52, 1, -0.2
2819, -0.44, 0.64, -0.16
2820, -0.44, 0.36, -0.12
2821, -0.36, 0.04, -0.04
2822, -0.44, 0.16, 0.08
2823, -0.52, 1, 0.2
2824, -0.6, 0.64, -0.16
2825, -0.52, 0.64, -0.16
2826, -0.44, 0.36, -0.12
2827, -0.28, 4.84, -0.44
2828, -0.52, 3.24, -0.36
2829, -0.68, 1, -0.2
2830, -0.68, 2.56, -0.32
2831, -0.44, 0.16, -0.08
2832, -0.6, 0.04, -0.04
2833, -0.44, 0.04, -0.04
2834, -0.36, 1, -0.2
2835, -0.44, 2.56, -0.32
2836, -0.44, 1, -0.2
2837, -0.6, 1.96, -0.28
2838, -0.44, 0.36, -0.12
2839, -0.44, 0.36, 0.12
2840, -0.6, 0.04, 0.04
2841, -0.44, 0.64, -0.16
2842, -0.52, 0.64, -0.16
2843, -0.52, 0.04, -0.04
2844, -0.44, 0.04, 0.04
2845, -0.28, 0.04, 0.04
2846, -0.52, 0, 0
2847, -0.6, 1.44, 0.24
2848, -0.28, 0.04, 0.04
2849, -0.52, 0.64, 0.16
2850, -0.2, 0.04, 0.04
2851, -0.2, 0.16, -0.08
2852, -0.28, 1.96, -0.28
2853, -0.36, 0.04, 0.04
2854, -0.36, 0.36, -0.12
2855, -0.44, 0, 0
2856, -0.6, 0.04, 0.04
2857, -0.52, 0.16, -0.08
2858, -0.44, 0.16, 0.08
2859, -0.6, 0.04, -0.04
2860, -0.44, 0.64, 0.16
2861, -0.28, 0.04, -0.04
2862, -0.2, 0.04, -0.04
2863, -0.28, 1.96, 0.28
2864, -0.36, 4, 0.4
2865, -0.44, 0.64, 0.16
2866, -0.36, 0, 0
2867, -0.36, 0.36, 0.12
2868, -0.68, 0.36, 0.12
2869, -0.52, 0, 0
2870, -0.52, 0.64, -0.16
2871, -0.52, 1.44, -0.24
2872, -0.52, 3.24, -0.36
2873, -0.6, 6.76, -0.52
2874, -0.68, 2.56, -0.32
2875, -0.52, 2.56, -0.32
2876, -0.6, 4, -0.4
2877, -0.36, 5.76, -0.48
2878, -0.68, 7.84, -0.56
2879, -0.52, 4, -0.4
2880, -0.36, 1, -0.2
2881, -0.6, 0.04, 0.04
2882, -0.44, 0.36, -0.12
2883, -0.44, 0.04, -0.04
2884, -0.52, 1, -0.2
2885, -0.52, 2.56, -0.32
2886, -0.44, 1.44, -0.24
2887, -0.36, 0.04, 0.04
2888, -0.28, 1, 0.2
2889, -0.12, 1.44, 0.24
2890, -0.36, 0.64, 0.16
2891, -0.44, 1.96, 0.28
2892, -0.44, 0.16, 0.08
2893, -0.44, 1, -0.2
2894, -0.6, 0.16, -0.08
2895, -0.6, 2.56, 0.32
2896, -0.52, 1.44, 0.24
2897, -0.44, 3.24, 0.36
2898, -0.52, 4, 0.4
2899, -0.52, 3.24, 0.36
2900, -0.36, 0, 0
2901, -0.36, 2.56, 0.32
2902, -0.52, 1, 0.2
2903, -0.76, 0.64, 0.16
2904, -0.6, 1.44, 0.24
2905, -0.44, 0.04, 0.04
2906, -0.6, 0, 0
2907, -0.68, 0.64, -0.16
2908, -0.2, 0.04, -0.04
2909, -0.28, 0.36, 0.12
2910, -0.28, 0.36, 0.12
2911, -0.28, 0.04, 0.04
2912, -0.52, 1, 0.2
2913, -0.6, 0.04, 0.04
2914, -0.6, 0.04, 0.04
2915, -0.44, 0, 0
2916, -0.36, 0.36, -0.12
2917, -0.44, 0.04, -0.04
2918, -0.52, 2.56, -0.32
2919, -0.44, 4, -0.4
2920, -0.44, 0.36, -0.12
2921, -0.44, 0.04, 0.04
2922, -0.28, 0.16, -0.08
2923, -0.44, 0.36, 0.12
2924, -0.52, 1.44, 0.24
2925, -0.44, 0.36, 0.12
2926, -0.36, 0, 0
2927, -0.6, 1, -0.2
2928, -0.52, 2.56, -0.32
2929, -0.52, 3.24, -0.36
2930, -0.36, 7.84, -0.56
2931, -0.44, 6.76, -0.52
2932, -0.6, 7.84, -0.56
2933, -0.36, 5.76, -0.48
2934, -0.36, 2.56, -0.32
2935, -0.36, 1, -0.2
2936, -0.36, 1, -0.2
2937, -0.52, 4.84, -0.44
2938, -0.52, 1.44, -0.24
2939, -0.52, 0.16, -0.08
2940, -0.44, 0.16, -0.08
2941, -0.36, 0.64, 0.16
2942, -0.52, 0.36, 0.12
2943, -0.44, 0.36, 0.12
2944, -0.44, 0.36, -0.12
2945, -0.6, 0.04, -0.04
2946, -0.6, 0.36, -0.12
2947, -0.68, 0.64, -0.16
2948, -0.68, 1, -0.2
2949, -0.6, 0, 0
2950, -0.36, 0.16, 0.08
2951, -0.36, 1.44, -0.24
2952, -0.6, 1.96, -0.28
2953, -0.52, 6.76, -0.52
2954, -0.44, 3.24, -0.36
2955, -0.52, 2.56, -0.32
2956, -0.52, 2.56, -0.32
2957, -0.44, 0, 0
2958, -0.36, 0.16, -0.08
2959, -0.44, 0.64, 0.16
2960, -0.52, 0, 0
2961, -0.44, 0.04, -0.04
2962, -0.6, 2.56, -0.32
2963, -0.52, 0.64, -0.16
2964, -0.2, 1.44, -0.24
2965, -0.44, 1.44, -0.24
2966, -0.36, 0.04, 0.04
2967, -0.68, 1.96, 0.28
2968, -0.68, 2.56, 0.32
2969, -0.68, 5.76, 0.48
2970, -0.6, 4.84, 0.44
2971, -0.28, 0.36, 0.12
2972, -0.28, 1.44, 0.24
2973, -0.52, 0.64, 0.16
2974, -0.44, 0.16, 0.08
2975, -0.28, 0, 0
2976, -0.52, 0.04, 0.04
2977, -0.52, 0.04, -0.04
2978, -0.44, 0.04, 0.04
2979, -0.36, 1.96, -0.28
2980, -0.28, 0.04, 0.04
2981, -0.36, 2.56, 0.32
2982, -0.36, 0.64, 0.16
2983, -0.52, 0.04, 0.04
2984, -0.44, 0.16, 0.08
2985, -0.44, 2.56, 0.32
2986, -0.44, 0.16, 0.08
2987, -0.36, 0.64, 0.16
2988, -0.52, 2.56, 0.32
2989, -0.44, 0, 0
2990, -0.28, 0.64, -0.16
2991, -0.2, 0.16, -0.08
2992, -0.52, 0, 0
2993, -0.36, 1.96, 0.28
2994, -0.44, 1.44, 0.24
2995, -0.52, 1.44, 0.24
2996, -0.52, 1.44, 0.24
2997, -0.52, 1.96, 0.28
2998, -0.52, 0.36, 0.12
2999, -0.76, 3.24, 0.36
3000, -0.6, 7.84, 0.56
3001, -0.52, 1.96, 0.28
3002, -0.36, 0.16, 0.08
3003, -0.28, 0.04, 0.04
3004, -0.2, 0.36, 0.12
3005, -0.44, 3.24, 0.36
3006, -0.6, 1.44, 0.24
3007, -0.52, 0.04, -0.04
3008, -0.44, 0.64, 0.16
3009, -0.6, 1.44, 0.24
3010, -0.6, 1, 0.2
3011, -0.6, 0, 0
3012, -0.76, 0.64, -0.16
3013, -0.6, 0.36, -0.12
3014, -0.2, 0.04, 0.04
3015, -0.36, 0.16, 0.08
3016, -0.28, 0, 0
3017, -0.36, 0.04, -0.04
3018, -0.2, 0.04, -0.04
3019, -0.52, 0, 0
3020, -0.28, 0.04, -0.04
3021, -0.28, 0.36, 0.12
3022, -0.28, 1.96, 0.28
3023, -0.28, 1, 0.2
3024, -0.28, 1.96, 0.28
3025, -0.52, 3.24, 0.36
3026, -0.6, 1.96, 0.28
3027, -0.52, 0.64, 0.16
3028, -0.68, 0.64, 0.16
3029, -0.52, 0.36, 0.12
3030, -0.52, 1.96, 0.28
3031, -0.36, 0.64, 0.16
3032, -0.44, 0.36, 0.12
3033, -0.36, 0.16, 0.08
3034, -0.44, 0, 0
3035, -0.6, 0.16, -0.08
3036, -0.52, 0.04, -0.04
3037, -0.44, 0.36, -0.12
3038, -0.52, 4, -0.4
3039, -0.52, 4.84, -0.44
3040, -0.6, 1.96, -0.28
3041, -0.6, 1, -0.2
3042, -0.36, 1.44, -0.24
3043, -0.44, 6.76, -0.52
3044, -0.44, 4.84, -0.44
3045, -0.36, 6.76, -0.52
3046, -0.52, 6.76, -0.52
3047, -0.44, 4.84, -0.44
3048, -0.2, 0.16, -0.08
3049, -0.44, 0.16, 0.08
3050, -0.44, 1, -0.2
3051, -0.44, 0.36, -0.12
3052, -0.52, 0.04, -0.04
3053, -0.36, 0.04, 0.04
3054, -0.36, 0.04, 0.04
3055, -0.52, 0.16, 0.08
3056, -0.52, 0.64, 0.16
3057, -0.36, 0.04, -0.04
3058, -0.44, 1.44, -0.24
3059, -0.36, 1, -0.2
3060, -0.44, 4, -0.4
3061, -0.52, 1, -0.2
3062, -0.28, 1.44, -0.24
3063, -0.04, 0, 0
3064, -0.36, 0.36, -0.12
3065, -0.52, 0.36, -0.12
3066, -0.44, 0.64, -0.16
3067, -0.52, 1, -0.2
3068, -0.52, 0.36, -0.12
3069, -0.44, 0.16, 0.08
3070, -0.52, 1, 0.2
3071, -0.44, 0.04, -0.04
3072, -0.68, 0.04, 0.04
3073, -0.52, 1, -0.2
3074, -0.6, 0.04, -0.04
3075, -0.6, 0.16, -0.08
3076, -0.52, 1, -0.2
3077, -0.44, 0.36, -0.12
3078, -0.28, 0.36, -0.12
3079, -0.2, 0.04, 0.04
3080, -0.44, 0.64, 0.16
3081, -0.44, 1, 0.2
3082, -0.36, 2.56, 0.32
3083, -0.44, 0.16, 0.08
3084, -0.36, 1, -0.2
3085, -0.52, 0.36, -0.12
3086, -0.44, 3.24, -0.36
3087, -0.44, 3.24, -0.36
3088, -0.6, 3.24, -0.36
3089, -0.68, 5.76, -0.48
3090, -0.52, 5.76, -0.48
3091, -0.52, 6.76, -0.52
3092, -0.52, 9, -0.6
3093, -0.52, 1.96, -0.28
3094, -0.6, 1, -0.2
3095, -0.68, 0.64, -0.16
3096, -0.44, 0.36, -0.12
3097, -0.52, 0, 0
3098, -0.68, 0, 0
3099, -0.44, 0.36, -0.12
3100, -0.52, 1.44, -0.24
3101, -0.44, 3.24, -0.36
3102, -0.6, 4, -0.4
3103, -0.36, 1.44, -0.24
3104, -0.52, 0.64, -0.16
3105, -0.36, 0.04, 0.04
3106, -0.36, 1, 0.2
3107, -0.28, 1.96, 0.28
3108, -0.6, 0.36, 0.12
3109, -0.52, 0.16, 0.08
3110, -0.36, 0.36, 0.12
