M, r_mean(M), r_error(M)
10000, 5.10831, 0
20000, 5.02865, 0.0796602
30000, 4.98011, 0.0668665
40000, 5.01299, 0.0575882
50000, 4.983, 0.053752
60000, 4.99824, 0.0464594
70000, 4.98902, 0.0403321
80000, 4.98729, 0.0349716
90000, 4.997, 0.0323344
100000, 4.99655, 0.0289242
110000, 4.99003, 0.0269648
120000, 4.9859, 0.0249583
130000, 4.98433, 0.0230119
140000, 4.97947, 0.0218535
150000, 4.98537, 0.0211833
160000, 4.98536, 0.0198152
170000, 4.98968, 0.0191083
180000, 4.98663, 0.0182723
190000, 4.98884, 0.0174255
200000, 5.00073, 0.0203614
210000, 5.00044, 0.0193697
220000, 5.00526, 0.0190868
230000, 5.00548, 0.0182393
240000, 5.00792, 0.0176335
250000, 5.00775, 0.0169144
260000, 5.011, 0.0165725
270000, 5.00571, 0.0168012
280000, 4.99944, 0.0173635
290000, 4.99779, 0.0168346
300000, 4.98999, 0.0180367
310000, 4.99232, 0.0176
320000, 4.99756, 0.0178286
330000, 4.99977, 0.017421
340000, 5.00554, 0.017857
350000, 5.00985, 0.0178678
360000, 5.00907, 0.0173818
370000, 5.0073, 0.0169983
380000, 5.00665, 0.0165578
390000, 5.00906, 0.0163068
400000, 5.01027, 0.0159397
410000, 5.00757, 0.0157785
420000, 5.00554, 0.0155321
430000, 5.00264, 0.0154405
440000, 5.00521, 0.0153022
450000, 5.00313, 0.0151015
460000, 5.00284, 0.0147725
470000, 5.00307, 0.0144567
480000, 5.00354, 0.0141601
490000, 5.00343, 0.0138686
500000, 5.00359, 0.0135893
510000, 5.0029, 0.0133379
520000, 4.99954, 0.0135034
530000, 4.9973, 0.0134353
540000, 4.99657, 0.0132044
550000, 4.99528, 0.0130259
560000, 4.99387, 0.0128687
570000, 4.99534, 0.0127258
580000, 4.99467, 0.0125221
590000, 4.99447, 0.0123097
600000, 4.99529, 0.012131
610000, 4.99305, 0.0121396
620000, 4.99326, 0.0119441
630000, 4.99313, 0.0117538
640000, 4.99255, 0.0115834
650000, 4.99233, 0.0114058
660000, 4.991, 0.0113102
670000, 4.98916, 0.0112904
680000, 4.9899, 0.0111474
690000, 4.99166, 0.0111256
700000, 4.99192, 0.0109685
710000, 4.99356, 0.0109364
720000, 4.99208, 0.0108852
730000, 4.99238, 0.0107394
740000, 4.99106, 0.0106755
750000, 4.99056, 0.0105438
760000, 4.98966, 0.010443
770000, 4.98989, 0.0103089
780000, 4.98888, 0.0102253
790000, 4.98696, 0.0102758
800000, 4.985, 0.0103343
810000, 4.98297, 0.010406
820000, 4.98201, 0.0103226
830000, 4.98362, 0.0103237
840000, 4.98331, 0.0102049
850000, 4.98207, 0.01016
860000, 4.98425, 0.0102744
870000, 4.9827, 0.010272
880000, 4.98364, 0.0101974
890000, 4.98557, 0.0102663
900000, 4.98393, 0.0102837
910000, 4.98334, 0.0101874
920000, 4.98318, 0.0100774
930000, 4.98432, 0.0100341
940000, 4.98551, 0.00999793
950000, 4.98511, 0.00990012
960000, 4.9858, 0.00982044
970000, 4.98521, 0.00973674
980000, 4.98623, 0.00969107
990000, 4.98734, 0.00965649
1e+06, 4.98676, 0.00957683
