M, r_mean(M), r_error(M)
10000, 5.21222, 0
20000, 5.1972, 0.0150214
30000, 5.13214, 0.0656343
40000, 5.06347, 0.0828791
50000, 5.05384, 0.0649161
60000, 5.07026, 0.0554878
70000, 5.0564, 0.0489011
80000, 5.05562, 0.0423567
90000, 5.04716, 0.038301
100000, 5.03637, 0.0359166
110000, 5.02973, 0.0331582
120000, 5.01707, 0.0328119
130000, 5.01398, 0.0303397
140000, 5.00835, 0.0286491
150000, 5.00284, 0.0272339
160000, 4.99621, 0.0263235
170000, 5.0016, 0.0253083
180000, 4.99053, 0.0263076
190000, 4.98719, 0.0251068
200000, 4.9831, 0.0241672
210000, 4.97972, 0.0232353
220000, 4.98015, 0.0221582
230000, 4.98787, 0.0225372
240000, 4.99493, 0.0227036
250000, 4.99975, 0.0223025
260000, 4.99102, 0.0231368
270000, 4.99312, 0.0223626
280000, 4.99586, 0.021722
290000, 4.99071, 0.0215818
300000, 4.99004, 0.0208607
310000, 4.98947, 0.0201847
320000, 4.99198, 0.0197036
330000, 4.98988, 0.0192122
340000, 4.99279, 0.0188641
350000, 4.99653, 0.0186959
360000, 4.99529, 0.0182114
370000, 4.99931, 0.0181621
380000, 4.9979, 0.0177334
390000, 4.99703, 0.0172948
400000, 4.99799, 0.0168841
410000, 4.99829, 0.0164698
420000, 4.99769, 0.0160841
430000, 4.99443, 0.0160404
440000, 4.99414, 0.0156741
450000, 4.99193, 0.0154815
460000, 4.99178, 0.0151419
470000, 4.99274, 0.0148471
480000, 4.99183, 0.0145629
490000, 4.99282, 0.0142969
500000, 4.99211, 0.0140257
510000, 4.98901, 0.0140936
520000, 4.98892, 0.0138203
530000, 4.98946, 0.0135677
540000, 4.98927, 0.0133153
550000, 4.99014, 0.0130997
560000, 4.9895, 0.0128795
570000, 4.99093, 0.0127323
580000, 4.9931, 0.012697
590000, 4.9927, 0.0124863
600000, 4.99672, 0.0129177
610000, 4.99637, 0.012709
620000, 4.99724, 0.0125327
630000, 4.99802, 0.012357
640000, 4.99905, 0.0122062
650000, 5.00096, 0.0121666
660000, 5.00019, 0.0120053
670000, 4.99895, 0.0118901
680000, 5.00065, 0.0118374
690000, 5.00145, 0.0116916
700000, 5.00197, 0.0115354
710000, 5.00202, 0.0113718
720000, 5.00182, 0.0112146
730000, 5.00386, 0.011248
740000, 5.0045, 0.0111134
750000, 5.0036, 0.0110012
760000, 5.00203, 0.0109685
770000, 5.00288, 0.0108581
780000, 5.00344, 0.0107329
790000, 5.00314, 0.0106005
800000, 5.00253, 0.010485
810000, 5.00314, 0.0103729
820000, 5.00675, 0.0108629
830000, 5.00556, 0.0107969
840000, 5.00582, 0.0106707
850000, 5.00455, 0.0106201
860000, 5.00475, 0.0104977
870000, 5.0041, 0.0103965
880000, 5.00228, 0.0104384
890000, 5.00223, 0.0103206
900000, 4.99998, 0.0104491
910000, 5.00082, 0.0103677
920000, 4.999, 0.0104144
930000, 4.99848, 0.0103151
940000, 4.99816, 0.0102099
950000, 4.99702, 0.0101653
960000, 4.99837, 0.0101488
970000, 4.99759, 0.010074
980000, 4.99585, 0.0101206
990000, 4.99548, 0.010025
1e+06, 4.99658, 0.00998527
