beta, l1
58.7174, 6.32043
58.9178, 6.33714
59.1182, 6.32523
59.3186, 6.32523
59.519, 6.30225
59.7194, 6.30225
59.9198, 6.32523
60.1202, 6.32523
60.3206, 6.32523
60.521, 6.33714
60.7214, 6.34967
60.9218, 6.30225
61.1222, 6.32523
61.3226, 6.30225
61.523, 6.35532
61.7234, 6.32676
61.9238, 6.30225
62.1242, 6.32043
62.3246, 6.30225
62.5251, 6.33714
62.7255, 6.33714
62.9259, 6.36785
63.1263, 6.32523
63.3267, 6.30225
63.5271, 6.32523
63.7275, 6.32676
63.9279, 6.32523
64.1283, 6.32523
64.3287, 6.32043
64.5291, 6.30225
64.7295, 6.30225
64.9299, 6.30225
65.1303, 6.33714
65.3307, 6.30225
65.5311, 6.34615
65.7315, 6.30225
65.9319, 6.32676
66.1323, 6.30225
66.3327, 6.30225
66.5331, 6.32523
66.7335, 6.30225
66.9339, 6.32676
67.1343, 6.32676
67.3347, 6.32676
67.5351, 6.32523
67.7355, 6.30225
67.9359, 6.39357
68.1363, 6.34341
68.3367, 6.30225
68.5371, 6.30225
68.7375, 6.30225
68.9379, 6.35532
69.1383, 6.30225
69.3387, 6.30225
69.5391, 6.32523
69.7395, 6.30225
69.9399, 6.32043
70.1403, 6.34341
70.3407, 6.37025
70.5411, 6.34972
70.7415, 6.32043
70.9419, 6.34967
71.1423, 6.32043
71.3427, 6.30225
71.5431, 6.30225
71.7435, 6.32043
71.9439, 6.32043
72.1443, 6.34615
72.3447, 6.32043
72.5451, 6.33714
72.7455, 6.30225
72.9459, 6.30225
73.1463, 6.30225
73.3467, 6.30225
73.5471, 6.32523
73.7475, 6.30225
73.9479, 6.30225
74.1483, 6.32523
74.3487, 6.36165
74.5491, 6.34969
74.7495, 6.32676
74.9499, 6.30225
75.1503, 6.38843
75.3507, 6.34972
75.5511, 6.40514
75.7515, 6.35532
75.9519, 6.32523
76.1523, 6.35532
76.3527, 6.32676
76.5531, 6.30225
76.7535, 6.30225
76.9539, 6.32043
77.1543, 6.32043
77.3547, 6.32676
77.5551, 6.30225
77.7555, 6.32043
77.9559, 6.30225
78.1563, 6.30225
78.3567, 6.33714
78.5571, 6.30225
78.7575, 6.30225
78.9579, 6.32523
79.1583, 6.30225
79.3587, 6.30225
79.5591, 6.30225
79.7595, 6.30225
79.9599, 6.30225
80.1603, 6.30225
80.3607, 6.30225
80.5611, 6.30225
80.7615, 6.30225
80.9619, 6.37025
81.1623, 6.30225
81.3627, 6.34341
81.5631, 6.30225
81.7635, 6.33714
81.9639, 6.32523
82.1643, 6.30225
82.3647, 6.30225
82.5651, 6.30225
82.7655, 6.32676
82.9659, 6.30225
83.1663, 6.30225
83.3667, 6.30225
83.5671, 6.30225
83.7675, 6.30225
83.9679, 6.32043
84.1683, 6.36787
84.3687, 6.32523
84.5691, 6.32043
84.7695, 6.34341
84.9699, 6.30225
85.1703, 6.33714
85.3707, 6.30225
85.5711, 6.30225
85.7715, 6.30225
85.9719, 6.32043
86.1723, 6.32676
86.3727, 6.32676
86.5731, 6.32043
86.7735, 6.32676
86.9739, 6.32523
87.1743, 6.30225
87.3747, 6.32043
87.5752, 6.32043
87.7756, 6.30225
87.976, 6.32043
88.1764, 6.30225
88.3768, 6.30225
88.5772, 6.36165
88.7776, 6.30225
88.978, 6.32676
89.1784, 6.30225
89.3788, 6.30225
89.5792, 6.30225
89.7796, 6.30225
89.98, 6.34494
90.1804, 6.30225
90.3808, 6.33714
90.5812, 6.30225
90.7816, 6.34967
90.982, 6.30225
91.1824, 6.34969
91.3828, 6.30225
91.5832, 6.32043
91.7836, 6.30225
91.984, 6.30225
92.1844, 6.30225
92.3848, 6.32676
92.5852, 6.30225
92.7856, 6.30225
92.986, 6.32523
93.1864, 6.30225
93.3868, 6.30225
93.5872, 6.30225
93.7876, 6.30225
93.988, 6.34967
94.1884, 6.32043
94.3888, 6.37025
94.5892, 6.30225
94.7896, 6.32676
94.99, 6.30225
95.1904, 6.30225
95.3908, 6.30225
95.5912, 6.34494
95.7916, 6.30225
95.992, 6.32043
96.1924, 6.36787
96.3928, 6.30225
96.5932, 6.34969
96.7936, 6.30225
96.994, 6.30225
97.1944, 6.32043
97.3948, 6.32523
97.5952, 6.32043
97.7956, 6.30225
97.996, 6.32523
98.1964, 6.30225
98.3968, 6.30225
98.5972, 6.32043
98.7976, 6.33714
98.998, 6.30225
99.1984, 6.30225
99.3988, 6.32043
99.5992, 6.32043
99.7996, 6.32043
100, 6.30225
