1000,1.93331, 0
2000,1.92068, 0.00631618
3000,1.95308, 0.00942953
4000,1.94136, 0.00681659
5000,1.93646, 0.0052817
6000,1.92727, 0.0046059
7000,1.92331, 0.00425671
8000,1.92707, 0.00377686
9000,1.93914, 0.003404
10000,1.94842, 0.00338965
11000,1.92601, 0.00317333
12000,1.94008, 0.00293809
13000,1.92944, 0.00273255
14000,1.96316, 0.00326404
15000,1.9239, 0.00314988
16000,1.93068, 0.00296186
17000,1.9452, 0.00284353
18000,1.97113, 0.00332279
19000,1.93272, 0.00315425
20000,1.95134, 0.00307138
21000,1.92748, 0.00296566
22000,1.94794, 0.00286587
23000,1.96019, 0.0029013
24000,1.91627, 0.00293621
25000,1.93119, 0.00283003
