1000,-4.0807, 0
2000,-4.07998, 0.00421079
3000,-4.08105, 0.00628635
4000,-4.08044, 0.0045444
5000,-4.08119, 0.00352113
6000,-4.0805, 0.0030706
7000,-4.081, 0.00283781
8000,-4.0799, 0.0025179
9000,-4.08074, 0.00226934
10000,-4.08014, 0.00225977
11000,-4.08048, 0.00211555
12000,-4.08094, 0.00195873
13000,-4.08157, 0.0018217
14000,-4.08222, 0.00217603
15000,-4.08145, 0.00209992
16000,-4.07981, 0.00197457
17000,-4.08061, 0.00189569
18000,-4.08068, 0.0022152
19000,-4.08083, 0.00210283
20000,-4.08208, 0.00204759
21000,-4.08095, 0.00197711
22000,-4.07926, 0.00191058
23000,-4.08104, 0.0019342
24000,-4.08183, 0.00195747
25000,-4.07998, 0.00188669
