1000,-6.01401, 0
2000,-6.00066, 0.00667617
3000,-6.03413, 0.00972792
4000,-6.0218, 0.00701616
5000,-6.01765, 0.0054347
6000,-6.00777, 0.00473283
7000,-6.0043, 0.00433518
8000,-6.00697, 0.00386561
9000,-6.01988, 0.00348402
10000,-6.02856, 0.00343421
11000,-6.00649, 0.00321423
12000,-6.02103, 0.00298044
13000,-6.01101, 0.00276113
14000,-6.04537, 0.00335543
15000,-6.00535, 0.00322073
16000,-6.01049, 0.00303475
17000,-6.02581, 0.0029088
18000,-6.05181, 0.0033704
19000,-6.01355, 0.00319875
20000,-6.03341, 0.00312796
21000,-6.00842, 0.00301763
22000,-6.0272, 0.00290425
23000,-6.04122, 0.00294004
24000,-5.99809, 0.00295743
25000,-6.01117, 0.00285373
