beta, l1
58.9178, 10.6313
59.1182, 10.6313
59.3186, 10.6054
59.519, 10.6054
59.7194, 10.6054
59.9198, 10.6054
60.1202, 10.6313
60.3206, 10.6054
60.521, 10.6313
60.7214, 10.6054
60.9218, 10.6054
61.1222, 10.6054
61.3226, 10.6054
61.523, 10.6054
61.7234, 10.6054
61.9238, 10.6054
62.1242, 10.6054
62.3246, 10.6313
62.5251, 10.6054
62.7255, 10.6054
62.9259, 10.6054
63.1263, 10.6054
63.3267, 10.6054
63.5271, 10.6054
63.7275, 10.6054
63.9279, 10.6313
64.1283, 10.6054
64.3287, 10.6054
64.5291, 10.6054
64.7295, 10.7164
64.9299, 10.6054
65.1303, 10.6054
65.3307, 10.6054
65.5311, 10.6054
65.7315, 10.6054
65.9319, 10.6054
66.1323, 10.6054
66.3327, 10.6054
66.5331, 10.6054
66.7335, 10.6054
66.9339, 10.6054
67.1343, 10.6054
67.3347, 10.6054
67.5351, 10.6054
67.7355, 10.6054
67.9359, 10.6054
68.1363, 10.6961
68.3367, 10.6054
68.5371, 10.6054
68.7375, 10.6313
68.9379, 10.6054
69.1383, 10.6054
69.3387, 10.6054
69.5391, 10.6054
69.7395, 10.6054
69.9399, 10.6054
70.1403, 10.6054
70.3407, 10.6054
70.5411, 10.6313
70.7415, 10.6054
70.9419, 10.6054
71.1423, 10.6054
71.3427, 10.6054
71.5431, 10.6054
71.7435, 10.6054
71.9439, 10.6054
72.1443, 10.6054
72.3447, 10.6054
72.5451, 10.6054
72.7455, 10.6054
72.9459, 10.6054
73.1463, 10.6054
73.3467, 10.6054
73.5471, 10.6054
73.7475, 10.6054
73.9479, 10.6313
74.1483, 10.6054
74.3487, 10.6313
74.5491, 10.6054
74.7495, 10.6054
74.9499, 10.6054
75.1503, 10.6054
75.3507, 10.6054
75.5511, 10.6313
75.7515, 10.6054
75.9519, 10.6054
76.1523, 10.6054
76.3527, 10.6313
76.5531, 10.6054
76.7535, 10.6054
76.9539, 10.6054
77.1543, 10.6054
77.3547, 10.6054
77.5551, 10.6054
77.7555, 10.6054
77.9559, 10.6054
78.1563, 10.6054
78.3567, 10.6313
78.5571, 10.6054
78.7575, 10.6054
78.9579, 10.6054
79.1583, 10.6054
79.3587, 10.6054
79.5591, 10.6054
79.7595, 10.6054
79.9599, 10.6054
80.1603, 10.6054
80.3607, 10.6054
80.5611, 10.6313
80.7615, 10.6054
80.9619, 10.6054
81.1623, 10.6054
81.3627, 10.6054
81.5631, 10.6054
81.7635, 10.6054
81.9639, 10.6054
82.1643, 10.6054
82.3647, 10.6054
82.5651, 10.6313
82.7655, 10.6054
82.9659, 10.6054
83.1663, 10.6054
83.3667, 10.6054
83.5671, 10.6054
83.7675, 10.6054
83.9679, 10.6054
84.1683, 10.6054
84.3687, 10.6054
84.5691, 10.6313
84.7695, 10.6054
84.9699, 10.6054
85.1703, 10.6054
85.3707, 10.6054
85.5711, 10.6313
85.7715, 10.6054
85.9719, 10.6054
86.1723, 10.6054
86.3727, 10.6054
86.5731, 10.6054
86.7735, 10.6054
86.9739, 10.6054
87.1743, 10.6054
87.3747, 10.6054
87.5752, 10.6054
87.7756, 10.6054
87.976, 10.6054
88.1764, 10.6054
88.3768, 10.6054
88.5772, 10.6054
88.7776, 10.6054
88.978, 10.6054
89.1784, 10.6054
89.3788, 10.6054
89.5792, 10.6054
89.7796, 10.6054
89.98, 10.6313
90.1804, 10.6054
90.3808, 10.6313
90.5812, 10.6054
90.7816, 10.6054
90.982, 10.6054
91.1824, 10.6054
