igen, l2_best, l2_mean
0, 40.6636, 57.8419
1, 36.2508, 52.1629
2, 34.6999, 47.0137
3, 30.9138, 41.7481
4, 29.7868, 37.2123
5, 26.7089, 34.816
6, 24.812, 31.8184
7, 22.0807, 29.411
8, 21.7638, 27.5512
9, 21.7638, 25.7842
10, 20.3626, 24.0903
11, 20.3626, 23.0123
12, 18.6344, 21.7856
13, 18.6344, 21.1934
14, 18.385, 20.5758
15, 16.07, 19.8768
16, 15.7007, 18.7801
17, 14.5475, 18.0327
18, 14.2705, 16.8535
19, 12.5752, 15.7469
20, 12.5752, 15.1085
21, 10.0606, 14.3351
22, 10.0606, 13.4237
23, 9.96818, 12.4789
24, 8.91251, 11.359
25, 8.91251, 10.4225
26, 8.81857, 9.91528
27, 8.78453, 9.61161
28, 8.5127, 9.35489
29, 7.45703, 9.51502
30, 7.45703, 9.10653
31, 6.98593, 8.77122
32, 5.53045, 8.35667
33, 5.52431, 7.60978
34, 5.27117, 7.14991
35, 5.27117, 6.33549
36, 5.24396, 5.98495
37, 5.09263, 5.75745
38, 5.06542, 5.35464
39, 4.9598, 5.29196
40, 4.9598, 5.17202
41, 4.47731, 5.12086
42, 4.33745, 5.04657
43, 4.04049, 4.90775
44, 3.85496, 4.7383
45, 3.85073, 4.62907
46, 3.85073, 4.34381
47, 3.85073, 4.19377
48, 3.84896, 4.07309
49, 3.79951, 3.95298
50, 3.79951, 3.92496
51, 3.75481, 3.90897
52, 3.61157, 3.87211
53, 3.50504, 3.80908
54, 3.49098, 3.74528
55, 3.46034, 3.66888
56, 3.36514, 3.6235
57, 3.27528, 3.72569
58, 3.25606, 3.70364
59, 3.25606, 3.71475
60, 3.25069, 3.58912
61, 3.25069, 3.59659
62, 3.25069, 3.64841
63, 3.24892, 3.34228
64, 3.24561, 3.28116
65, 3.24561, 3.25961
66, 3.24383, 3.2698
67, 3.18151, 3.25504
68, 3.18151, 3.26625
69, 2.78971, 3.35195
70, 2.78971, 3.88827
71, 2.78462, 3.82022
72, 2.78462, 4.08917
73, 2.56691, 3.844
74, 2.56691, 3.56304
75, 2.20364, 3.29653
76, 2.20364, 2.88055
77, 2.19855, 2.67351
78, 2.19855, 2.55832
79, 2.19855, 2.40378
80, 2.19855, 2.35337
81, 2.19855, 2.26534
82, 2.19855, 2.25481
83, 2.19855, 2.23327
84, 2.19855, 2.21009
85, 2.19855, 2.20495
86, 2.19855, 2.23551
87, 2.19855, 2.2015
88, 2.19855, 2.20842
89, 2.19855, 2.25178
90, 2.19855, 2.21381
